ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency
0.77,5.644,31.056,50620.416,213.365,1.26,270.241,12.98,7.2,0.2,1080304.0,3375825.6,133680.0,425385.6,824.8,0.0,2467.8,21422.4,12741.6,23182.4,30.8,59.2,8.4,1.4,0.0,0.00509
0.77,5.942,33.395,54723.584,217.456,1.03,274.441,13.45,7.4,0.0,1078768.0,4464780.0,135275.2,435726.4,54.4,0.0,62.4,21972.0,12611.2,23445.8,34.6,52.8,11.0,1.8,0.0,0.00506
0.78,6.267,34.527,51738.624,216.807,1.04,274.679,13.52,5.4,0.2,1078768.0,4104931.2,135885.6,439672.8,75.2,0.0,128.8,22948.8,12953.6,24543.4,33.4,54.4,10.4,1.8,0.0,0.00393
0.79,5.681,40.336,49509.376,218.155,1.19,280.342,12.68,7.6,0.2,1078204.8,4004441.6,136118.4,439360.8,266.4,0.0,993.6,23213.6,11565.8,22133.8,33.2,55.6,10.2,1.2,0.0,0.00541
0.76,5.721,37.985,55471.104,208.405,1.04,262.06,13.86,5.2,0.6,1077488.0,4373562.4,136210.4,453224.8,514.4,0.0,2083.2,22464.0,12676.2,23446.0,33.8,54.0,10.8,1.4,0.0,0.01121
0.78,5.944,30.517,56002.56,205.942,1.09,275.792,13.12,6.6,0.0,1075952.0,4066661.6,136242.4,454285.6,192.0,0.0,192.0,22464.0,12364.8,23394.6,34.2,52.8,11.6,1.2,0.0,0.00299
0.77,6.121,35.11,48964.608,207.047,1.13,260.376,13.76,6.6,0.0,1075696.0,4593736.0,136276.8,458784.0,64.8,0.0,76.0,24548.0,13201.6,24807.4,35.2,52.0,11.4,1.4,0.0,0.00292
0.87,5.97,37.126,46568.448,199.053,1.19,353.787,9.69,6.0,0.0,1075440.0,4006988.8,136308.0,457584.0,12.0,0.0,12.0,23194.4,13066.6,24504.6,37.0,52.0,10.0,1.4,0.0,0.00358
0.83,6.1,29.334,40182.784,188.184,1.16,304.697,10.85,7.2,0.2,1075440.0,4686575.2,136331.2,457020.0,36.0,0.0,52.8,21919.2,13045.8,23898.2,35.0,53.6,10.2,1.2,0.0,0.0035
1.08,5.929,32.26,21098.496,180.762,1.18,473.816,6.05,4.2,1.0,1024387.2,3606958.4,136344.8,465733.6,252.0,0.0,252.0,21551.2,12504.4,23685.2,45.4,42.0,10.6,2.0,0.0,0.00479
