ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
1.17,9.305,37.599,28331.008,334.871,1.33,753.01,4.71
1.26,8.871,95.937,29309.952,350.787,1.16,857.981,4.25
1.26,9.244,68.634,34827.264,441.276,0.94,717.743,5.12
1.20,9.780,81.586,37594.112,452.742,0.97,515.845,6.84
1.06,8.733,50.232,31725.568,387.073,1.02,456.411,7.05
0.92,8.416,71.160,21041.152,265.360,1.62,418.522,7.32
0.69,6.263,41.801,32375.808,244.541,2.06,317.293,10.76
0.70,7.059,52.115,24710.144,248.602,1.90,334.885,11.46
0.75,7.977,29.185,34501.632,273.294,1.75,353.281,12.12
0.74,7.294,41.338,20143.104,260.820,1.80,343.393,12.30
0.77,8.326,35.474,35633.152,275.826,1.79,361.404,12.33
0.71,8.659,29.858,44689.408,251.185,2.06,322.621,14.39
0.74,8.196,22.485,40967.168,267.658,1.94,347.754,13.16
0.74,8.559,26.778,37246.976,266.778,1.92,346.598,13.12
0.74,8.494,26.473,38942.72,257.424,1.83,330.893,13.45
0.75,8.160,32.984,36201.472,256.347,1.91,332.433,13.30
0.74,8.391,27.577,38683.648,266.101,1.92,343.576,13.33
0.73,8.599,26.768,44581.888,250.182,2.02,336.015,13.12
0.74,8.469,28.642,43245.568,255.121,1.98,329.882,13.02
0.81,8.049,27.651,40165.376,229.690,2.08,404.401,10.00
0.73,8.606,24.178,40279.04,229.472,2.24,318.375,13.25
0.93,8.701,22.555,19577.856,226.793,2.11,493.044,7.96
0.92,8.731,26.485,26296.32,216.010,2.26,519.786,7.82
0.89,6.843,26.953,12738.56,286.627,1.61,481.741,7.45
0.93,8.489,22.680,27693.056,251.452,1.91,518.33,7.91
1.01,8.645,24.606,14361.6,281.825,1.77,545.155,7.24
0.93,7.453,27.159,7675.904,316.208,1.63,472.641,8.00
1.03,8.907,21.020,21942.272,316.456,1.63,570.243,7.20
0.89,7.628,22.318,17699.84,294.351,1.66,443.817,8.48
1.23,8.144,29.080,8167.424,370.502,1.24,726.053,5.35
1.22,8.540,24.650,5974.016,363.745,1.32,732.334,5.29
1.10,8.721,26.478,7769.088,316.273,1.64,645.157,5.97
1.09,8.650,25.270,17126.4,393.177,1.22,531.996,7.44
1.03,8.432,33.313,21853.184,347.994,1.42,497.184,7.86
0.70,7.170,45.859,29624.32,261.714,1.96,344.111,11.28
0.69,7.568,44.792,26992.64,257.520,2.12,340.014,11.34
0.71,8.269,39.572,44778.496,256.389,1.76,335.216,13.36
0.70,7.466,51.568,29632.512,270.743,1.71,354.335,11.84
0.73,8.526,41.137,28460.032,250.691,1.91,326.474,13.48
0.75,8.799,35.558,28718.08,261.883,1.89,354.875,12.63
0.72,8.464,45.422,42897.408,261.785,1.98,343.623,13.25
0.71,8.703,42.725,43916.288,249.014,1.92,320.564,13.69
0.96,8.042,47.169,1622.016,229.589,1.89,503.0,7.63
0.70,8.726,42.290,43222.016,237.741,1.97,307.123,13.43
0.68,9.086,45.794,47041.536,238.724,2.10,308.279,14.25
0.84,8.794,49.192,38798.336,197.978,2.28,459.45,8.53
0.93,8.472,55.390,18999.296,212.831,2.26,534.835,7.22
0.82,8.608,40.475,39418.88,207.952,2.31,458.939,8.76
0.82,8.934,45.284,37500.928,201.484,2.40,440.916,9.02
0.82,8.961,39.180,32770.048,192.567,2.65,466.317,8.41
0.91,8.545,48.430,29640.704,218.695,2.17,524.196,7.35
0.99,8.657,38.185,25144.32,252.583,1.82,529.368,6.96
0.92,8.803,30.729,26490.88,233.284,2.01,494.239,7.55
1.00,8.559,34.511,31064.064,282.519,1.73,527.086,7.51
1.04,8.985,26.115,25780.224,291.676,1.63,566.338,6.81
1.11,8.884,24.063,21364.736,324.033,1.41,636.328,5.99
1.23,8.203,46.759,17882.112,364.260,1.19,741.499,5.15
1.14,9.032,32.517,12494.848,342.460,1.41,690.505,5.49
1.24,9.087,32.261,5767.168,355.012,1.35,777.489,4.74
1.07,9.384,29.643,20664.32,341.131,1.38,613.074,6.51
1.02,8.982,28.687,26420.224,374.868,1.30,417.6,8.96
0.93,9.005,28.127,18530.304,314.045,1.63,473.627,8.21
0.54,6.541,87.528,12894.208,197.866,2.18,281.907,9.30
0.62,7.769,55.778,23002.112,228.485,1.95,309.455,11.96
0.63,6.964,71.635,38218.752,252.517,1.71,326.494,12.28
0.62,8.710,31.672,48290.816,212.830,1.98,283.873,14.51
0.61,8.992,16.650,48304.128,214.438,2.07,279.126,14.53
0.62,9.188,16.485,55176.192,215.916,1.92,278.536,14.92
0.67,7.351,29.013,25646.08,258.235,1.72,333.192,10.31
0.79,9.589,21.092,28228.608,202.321,2.27,437.268,8.72
0.68,9.378,21.812,57040.896,198.501,2.14,351.446,11.85
0.64,9.457,18.669,53898.24,198.655,2.14,304.124,12.66
0.73,9.234,14.647,49164.288,182.324,2.34,380.075,9.82
0.73,9.307,24.148,47414.272,174.572,2.53,388.322,9.64
0.73,7.525,23.760,23705.6,259.635,1.68,378.638,8.47
0.92,9.423,13.660,35676.16,190.228,2.23,549.602,6.47
0.95,9.615,17.406,26241.024,209.248,2.11,545.062,6.35
0.90,9.441,23.445,34434.048,200.996,2.20,516.643,6.95
0.92,9.190,26.430,32664.576,213.540,2.02,507.43,6.98
0.88,7.566,28.653,22103.04,276.590,1.49,450.047,7.18
1.00,9.498,24.973,32582.656,263.346,1.71,535.257,6.72
1.11,9.361,28.266,26452.992,298.527,1.44,620.643,5.66
0.90,7.380,43.062,16726.016,287.532,1.47,477.211,6.61
0.78,8.861,51.601,26401.792,227.317,2.05,440.073,7.93
1.26,8.869,51.074,15991.808,369.756,1.18,820.965,4.42
1.23,8.691,38.140,16353.28,307.430,1.23,711.201,4.53
