ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r,b,交换,空闲,缓冲,缓存,si,so,bi,bo,in,cs,us,sy,id,wa,st,min,max,avg,samples/s
0.93,1.765,7.361,31741.952,377.589,0.72,392.777,15.51,8.5,0.17,901900.67,4334454.0,13481.33,400196.0,38.67,69.17,601.17,234.17,3272.67,6119.0,29.33,55.0,15.83,0.0,0.0,0,5,0.16,93
0.91,1.865,10.273,35111.936,376.856,0.76,389.747,16.25,8.33,0.33,902056.0,4059270.67,13784.0,400762.0,26.0,70.5,39.67,246.83,3669.83,6821.17,30.0,54.0,15.83,0.0,0.0,0,1,0.09,98
0.87,2.477,24.014,16401.408,298.922,1.27,322.839,12.82,10.17,1.33,1047699.33,237500.67,6068.0,250965.33,800.0,78983.17,27791.83,79156.83,7172.17,8683.0,16.5,67.83,15.17,0.33,0.0,0,3,0.23,97
0.83,2.574,22.289,19677.184,281.708,0.99,300.456,13.87,11.5,0.33,1077618.0,494520.0,3530.0,233582.0,948.83,54376.33,33433.0,54538.0,7533.33,9435.33,16.0,67.83,15.33,0.67,0.0,0,7,0.32,95
0.78,1.8,6.453,919.085,334.758,0.92,345.144,15.74,9.0,0.33,1010454.67,6408774.0,8073.33,340760.0,524.67,107.83,19357.0,251.5,3925.67,6699.0,45.0,39.33,15.67,0.0,0.0,0,23,0.43,95
1.16,2.306,4.87,14075.904,439.543,0.66,507.65,10.87,9.83,0.17,966502.67,6188451.33,9086.0,367176.0,150.0,74.17,298.83,211.17,3867.5,8000.17,43.17,41.0,15.67,0.0,0.0,0,1,0.14,98
1.28,1.673,4.364,3686.4,424.055,0.67,659.965,8.29,8.33,0.5,965777.33,5569176.0,9573.33,379368.67,284.0,74.0,2347.67,263.0,3026.5,6139.83,45.5,39.17,15.17,0.0,0.0,0,1,0.08,97
1.14,2.314,5.113,14632.96,394.892,0.69,501.733,10.64,9.17,0.0,964966.67,5381546.0,9984.0,389426.0,599.33,74.0,985.83,259.67,4487.83,8097.67,39.67,44.67,15.33,0.0,0.0,0,1,0.14,97
1.11,2.104,5.494,20242.432,420.588,0.7,503.425,11.68,10.33,0.0,939044.0,5245892.0,10289.33,402554.67,129.33,74.67,175.17,219.83,3950.83,7297.33,39.5,44.67,15.67,0.0,0.0,0,2,0.25,97
1.12,1.876,6.327,8753.152,311.462,0.86,503.024,9.95,10.83,0.0,927945.33,4390830.67,10736.67,407178.0,45.33,75.83,115.17,222.17,3114.83,6209.17,41.33,43.17,15.33,0.0,0.0,0,2,0.18,94
0.99,2.463,14.192,13924.352,346.347,0.75,419.802,11.6,10.0,0.0,1696990.0,4077281.33,11101.33,416069.33,40.0,131199.17,51.83,131295.0,5688.83,8580.5,28.17,56.17,15.83,0.0,0.0,0,2,0.28,96
0.96,1.934,15.9,14757.888,356.769,0.75,388.851,12.7,9.83,0.0,1632975.33,3775393.33,11608.0,415630.0,38.0,143067.83,49.83,143206.17,4703.0,6893.5,30.33,54.17,15.33,0.0,0.0,0,1,0.11,97
0.92,2.003,9.738,36039.68,367.469,0.8,391.208,16.16,9.33,0.0,917034.67,4459643.33,11916.0,415418.67,54.67,79.67,66.5,231.33,3372.33,6713.83,35.5,49.0,15.5,0.0,0.0,0,4,0.22,97
0.92,1.929,9.24,33885.184,359.848,0.81,378.328,15.72,12.0,0.0,916756.0,4237544.67,12249.33,415711.33,24.67,79.5,36.5,241.17,3790.33,6677.83,34.67,50.0,15.5,0.0,0.0,0,3,0.25,97
0.93,1.993,9.365,29887.488,368.736,0.82,391.183,15.2,9.17,0.0,916378.67,4634932.67,12573.33,417461.33,104.67,79.5,144.5,227.17,3613.83,6603.17,35.67,48.67,16.17,0.0,0.0,0,5,0.19,96
0.97,1.625,5.08,34146.304,393.043,0.79,430.687,14.0,10.17,0.0,916652.0,4352012.0,12837.33,414023.33,30.0,80.83,41.83,213.83,3347.0,5698.17,37.83,47.0,15.33,0.0,0.0,0,5,0.39,93
0.95,1.887,4.789,29847.552,378.453,0.82,411.82,14.99,10.0,0.0,915884.0,3592174.67,13140.0,419914.67,20.67,80.83,44.5,211.17,3627.67,6831.5,37.0,47.83,15.33,0.0,0.0,0,3,0.2,97
0.96,2.211,5.911,24321.024,380.722,0.74,415.636,14.7,9.67,0.17,915628.0,2914873.33,13496.0,421608.0,26.0,80.83,89.83,272.5,3937.33,7522.33,31.83,52.67,15.67,0.0,0.0,0,1,0.11,97
0.86,2.585,19.144,17070.08,299.697,1.19,328.209,12.78,13.0,0.0,1070447.33,249074.67,5972.67,258816.67,1308.67,80844.83,33016.33,80995.83,8092.83,9590.67,18.0,66.33,15.17,0.5,0.0,0,1,0.1,98
0.83,2.861,17.616,23734.272,283.886,1.11,314.919,14.14,11.83,0.17,1002860.67,992674.67,5891.33,273758.0,9194.83,5028.5,35604.67,5176.17,6633.83,10989.67,24.83,59.5,15.5,0.5,0.0,0,25,0.61,93
0.81,2.236,7.537,903.264,325.023,0.98,343.694,15.25,10.83,0.0,1013940.0,6470058.0,7832.0,347421.33,850.33,107.17,17828.33,285.5,4650.67,8188.5,47.5,37.33,15.0,0.17,0.0,0,18,0.39,92
