r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
7.0,0.6,1083346.4,2875100.0,45209.6,343011.2,4468.8,0.0,5568.0,11813.6,9037.2,16135.2,23.0,69.8,5.2,2.2,0.0
7.4,0.2,1082732.0,2359728.0,85124.8,345332.0,19.2,0.0,61.6,10541.6,7630.8,13500.2,30.4,63.4,5.2,1.0,0.0
9.4,0.0,1082220.0,2689994.4,102848.0,347016.0,34.4,0.0,85.6,11380.8,8816.8,15717.2,25.8,67.4,6.0,1.0,0.0
7.2,0.0,1081605.6,3420636.0,116116.0,346098.4,104.8,0.0,104.8,10199.2,7252.6,12851.6,31.6,63.6,4.4,0.8,0.0
10.2,0.0,1038400.0,2430644.0,125492.0,353832.8,93.6,0.0,132.8,11624.8,8430.2,15401.0,28.2,64.4,6.6,1.0,0.0
7.2,0.4,1038153.6,2487231.2,130082.4,353010.4,42.4,0.0,59.2,11947.2,9390.6,17144.0,27.6,64.8,6.4,1.2,0.0
7.8,0.0,1038076.0,2414080.8,133045.6,353938.4,27.2,0.0,59.2,11115.2,8814.8,15724.6,30.0,63.4,5.6,1.2,0.0
6.6,0.8,1038076.0,3097550.4,134301.6,351681.6,0.0,0.0,0.0,11362.4,8607.2,15786.4,27.4,67.6,4.8,1.0,0.0
7.4,0.0,1037820.0,2980534.4,135592.8,355736.8,58.4,0.0,344.0,11938.4,9091.4,16265.4,27.8,66.0,5.2,0.8,0.0
5.6,0.2,1037564.0,3474759.2,136286.4,359816.0,54.4,0.0,71.2,11458.4,8535.6,15394.8,28.8,63.8,7.0,1.0,0.0
8.6,0.2,1037564.0,4335758.4,136751.2,353816.8,8.8,0.0,8.8,11140.8,8551.8,15205.0,27.6,64.8,6.8,1.0,0.0
7.4,0.4,1037308.0,4214799.2,137037.6,359012.8,24.0,0.0,44.0,11296.0,7771.4,14507.6,29.8,64.4,5.6,0.6,0.0
7.6,0.2,1037052.0,4733200.0,137161.6,356636.0,36.0,0.0,141.2,10060.0,6873.0,12355.0,30.8,63.4,4.8,1.2,0.0
5.6,0.2,1036700.0,4479227.2,137298.4,355966.4,29.6,0.0,29.6,11392.0,8606.6,15575.0,29.8,63.4,6.0,1.2,0.0
6.4,0.2,1036700.0,5466205.6,137970.4,354260.8,0.8,0.0,2.4,12285.6,9465.4,17368.6,29.4,62.6,6.8,1.2,0.0
6.2,0.2,1032632.8,5558953.6,138032.0,362648.0,26.4,0.0,26.4,11288.8,8855.2,15799.0,30.6,62.0,6.4,1.0,0.0
7.2,0.8,1032444.8,5693484.0,138064.0,361938.4,44.8,0.0,46.4,11872.8,9180.2,16819.6,31.4,60.6,6.6,1.6,0.0
5.2,0.6,1031744.8,5522472.0,138081.6,362896.0,30.4,0.0,30.4,11611.2,9021.8,16656.4,31.6,61.4,5.8,1.4,0.0
7.4,0.2,1031690.4,5413119.2,138112.8,362336.0,5.6,0.0,5.6,12630.4,9067.2,16510.2,33.8,59.4,6.0,0.8,0.0
6.6,0.4,1031400.0,5445432.0,138132.8,364885.6,0.0,0.0,0.0,12129.6,8672.0,16248.2,36.8,56.4,6.2,1.0,0.0
9.8,0.0,1031042.4,5805407.2,138524.0,371096.0,244.0,0.0,1191.8,12327.2,8925.6,16969.4,36.4,56.2,6.4,1.2,0.0
6.8,0.2,1030980.0,5928606.4,138716.8,370730.4,9.6,0.0,44.8,12597.6,9978.6,18116.4,33.6,58.8,6.6,1.4,0.0
6.8,0.0,1030882.4,5985633.6,138726.4,370434.4,1.6,0.0,1.6,12768.0,9263.6,17156.8,37.2,55.4,6.6,1.2,0.0
8.0,0.0,1030652.8,6140953.6,138739.2,372920.8,20.8,0.0,20.8,12531.2,9135.8,16359.6,44.2,48.8,5.6,1.2,0.0
7.0,0.6,1063112.0,6440028.8,138752.0,368085.6,66.4,21664.0,82.4,31704.0,7652.4,13280.6,35.2,59.2,4.6,1.4,0.0
