stress-vm,stress-cpu(%),stress-io(%),avg-latency
4352M,0,10,.00295
4096M,0,10,.00468
3840M,0,10,.00400
3584M,0,10,.00709
3328M,0,10,.00405
3072M,0,10,.00450
2816M,0,10,.00308
2560M,0,10,.00738
2304M,0,10,.00329
2048M,0,10,.00417
1792M,0,10,.00415
1536M,0,10,.00410
1280M,0,10,.00373
1024M,0,10,.00570
768M,0,10,.00618
512M,0,10,.00526
256M,0,10,.00337
4K,50,1,.00407
7168M,50,1,.01850
6912M,50,1,.01133
6656M,50,1,.01730
6400M,50,1,.00885
6144M,50,1,.00807
5888M,50,1,.00703
5632M,50,1,.00826
5376M,50,1,.00531
5120M,50,1,.00760
4864M,50,1,.00603
4608M,50,1,.00509
4352M,50,1,.00705
4096M,50,1,.00646
3840M,50,1,.00546
3584M,50,1,.00541
3328M,50,1,.00668
3072M,50,1,.00550
2816M,50,1,.00462
2560M,50,1,.00494
2304M,50,1,.00783
2048M,50,1,.00414
1792M,50,1,.00616
1536M,50,1,.00550
1280M,50,1,.00519
1024M,50,1,.00321
768M,50,1,.00553
512M,50,1,.00368
256M,50,1,.00438
4K,30,1,.00400
7168M,30,1,.01663
6912M,30,1,.00796
6656M,30,1,.03575
6400M,30,1,.00692
6144M,30,1,.00574
5888M,30,1,.00514
5632M,30,1,.00675
5376M,30,1,.00468
5120M,30,1,.00547
4864M,30,1,.05891
4608M,30,1,.00345
4352M,30,1,.00810
4096M,30,1,.00411
3840M,30,1,.00674
3584M,30,1,.00427
3328M,30,1,.00418
3072M,30,1,.00498
2816M,30,1,.00543
2560M,30,1,.00620
2304M,30,1,.00497
2048M,30,1,.00409
1792M,30,1,.00599
1536M,30,1,.00667
1280M,30,1,.00445
1024M,30,1,.00538
768M,30,1,.01643
512M,30,1,.00588
256M,30,1,.01369
4K,10,1,.00305
7168M,10,1,.02292
6912M,10,1,.03712
6656M,10,1,.02881
6400M,10,1,.00428
6144M,10,1,.00904
5888M,10,1,.00550
5632M,10,1,.00557
5376M,10,1,.00472
5120M,10,1,.00615
4864M,10,1,.00604
4608M,10,1,.00460
4352M,10,1,.00566
4096M,10,1,.00453
3840M,10,1,.00449
3584M,10,1,.00547
3328M,10,1,.00844
3072M,10,1,.00730
2816M,10,1,.00434
2560M,10,1,.00418
2304M,10,1,.00609
2048M,10,1,.00452
1792M,10,1,.00506
1536M,10,1,.00410
1280M,10,1,.00697
1024M,10,1,.00504
768M,10,1,.00599
512M,10,1,.00498
256M,10,1,.00638
4K,0,1,.00586
7168M,0,1,.01531
6912M,0,1,.01241
6656M,0,1,.00730
6400M,0,1,.00477
6144M,0,1,.00529
5888M,0,1,.00451
5632M,0,1,.00506
5376M,0,1,.00542
5120M,0,1,.00530
4864M,0,1,.00640
4608M,0,1,.00433
4352M,0,1,.00426
4096M,0,1,.00619
3840M,0,1,.00414
3584M,0,1,.00441
3328M,0,1,.00594
3072M,0,1,.00601
2816M,0,1,.00510
2560M,0,1,.00356
2304M,0,1,.00586
2048M,0,1,.00406
1792M,0,1,.00489
1536M,0,1,.00540
1280M,0,1,.00489
1024M,0,1,.00336
768M,0,1,.00700
512M,0,1,.00508
256M,0,1,.00625
