ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency
0.63,4.777,28.312,44384.256,151.956,0.89,196.829,13.18,4.4,0.4,877794.4,3096199.2,45925.6,296650.4,1038.4,705.6,16666.8,18287.2,13737.0,18729.6,15.8,69.8,12.2,2.2,0.0,0.52
0.65,4.784,12.782,55320.576,142.633,0.83,179.48,14.18,5.8,0.2,876247.2,3709668.0,97866.4,358284.8,544.0,0.0,5877.2,16140.8,10119.0,19014.2,15.2,59.6,21.0,4.0,0.0,0.36
0.63,4.975,10.364,51546.112,131.923,0.89,168.02,14.55,4.0,0.6,875940.0,4255206.4,119372.0,360158.4,64.0,0.0,198.4,16629.6,10294.0,19397.8,17.6,59.0,19.4,4.2,0.0,0.38
0.63,5.289,14.364,56802.304,140.429,0.86,178.456,13.77,3.4,0.2,874404.0,4138744.0,129720.8,368267.2,322.4,0.0,703.6,18560.8,12508.2,21702.2,16.2,62.8,17.6,3.2,0.0,0.31
0.77,3.847,26.835,42317.824,213.198,1.27,262.797,11.94,7.0,0.2,874392.8,1186800.0,109046.4,317068.8,77.6,515.2,3262.2,16499.2,10058.0,17825.4,32.0,61.2,6.4,0.8,0.0,0.36
0.75,3.914,22.549,48612.352,204.384,1.08,249.146,12.47,9.6,0.2,861412.8,1709331.2,57856.0,428242.4,161.6,760.0,20304.0,16200.8,10414.4,17801.2,31.0,61.6,6.0,1.0,0.0,0.37
0.75,4.058,20.396,44786.688,205.289,1.31,252.622,12.52,8.0,0.0,870968.8,1615951.2,58529.6,377316.8,159.2,833.6,15233.6,15334.4,9928.8,17127.0,34.4,58.6,6.2,1.0,0.0,0.44
0.76,4.289,26.697,42481.664,196.809,1.19,247.021,13.48,6.4,0.0,887071.2,1461324.8,55397.6,380757.6,271.2,1356.8,15878.8,17684.0,10427.2,18040.8,33.8,60.2,4.8,1.4,0.0,0.52
0.76,4.138,26.333,38431.744,183.685,1.46,232.269,13.33,8.8,0.2,889900.0,1610725.6,95772.8,387106.4,848.8,0.0,7485.6,15736.8,9652.2,17277.6,35.8,57.6,5.8,1.2,0.0,0.15
0.84,4.549,27.54,40913.92,223.559,1.23,286.272,11.61,7.4,0.6,889132.0,2287127.2,116959.2,406244.0,160.8,0.0,1279.8,16332.8,10281.0,18369.0,34.8,57.8,6.4,1.0,0.0,0.35
0.83,4.642,20.71,39836.672,214.687,1.1,270.882,11.5,6.4,0.2,888620.0,4282276.8,128072.8,407792.8,37.6,0.0,217.6,17882.4,10685.8,19445.8,37.6,55.0,6.0,1.0,0.0,0.24
0.74,3.043,38.233,30789.632,182.134,1.23,220.44,12.16,8.6,0.6,875915.2,534322.4,67032.8,252384.8,99.2,13032.0,8008.2,25288.8,9177.0,14277.8,22.6,69.0,4.8,3.6,0.0,0.52
0.7,3.529,37.294,34628.608,182.743,1.36,226.92,12.21,9.4,0.6,856208.0,834976.8,39285.6,338345.6,107.2,11384.8,24792.6,26517.6,9868.2,16224.8,27.2,65.0,6.2,1.8,0.0,0.52
0.69,4.006,31.62,48647.168,179.473,1.17,221.705,13.51,6.8,0.2,891535.2,1587372.0,48486.4,386081.6,208.0,1973.6,16265.4,17660.0,9577.2,16955.0,27.8,62.6,8.4,1.4,0.0,0.41
0.72,3.926,32.348,38319.104,175.737,1.17,225.194,13.17,6.0,0.0,936734.4,1792458.4,63608.0,371335.2,225.6,12849.6,17053.0,29055.2,10254.2,17331.6,27.4,61.8,9.4,1.8,0.0,0.26
0.78,4.546,31.69,48235.52,191.464,1.01,244.686,12.66,5.6,0.0,883970.4,2349558.4,104852.0,382192.8,194.4,0.0,1399.6,16818.4,9942.0,18316.2,27.4,58.6,11.8,1.8,0.0,0.35
0.79,4.483,26.623,39823.36,183.818,1.3,234.958,12.34,5.6,0.2,881813.6,2831779.2,124262.4,397544.0,764.8,0.0,1735.8,16036.0,10135.0,18177.4,30.6,57.0,10.8,1.8,0.0,0.14
