stress-vm,stress-cpu(%),stress-io(%),avg-latency(ms)
2816M,0,1,1.138682
2560M,0,1,1.093410
2304M,0,1,1.109006
2048M,0,1,1.167573
1792M,0,1,1.146307
1536M,0,1,1.585165
1280M,0,1,1.329187
1024M,0,1,1.421527
768M,0,1,1.134535
512M,0,1,1.132571
256M,0,1,1.441952
