ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency
0.81,4.675,25.253,33719.296,197.534,1.15,253,12.39,9.4,0.2,788742.4,2353044.8,74062.4,394470.4,103.2,0,15063,19560,11472,19799.6,36.6,57.8,4.8,0.8,0,0.23
0.8,3.888,47.127,36465.664,196.981,1.27,249.861,13.14,7,0.2,816680.8,2349092.8,107840.8,408124.8,54.4,22137.6,1512.8,40523.2,9648.6,16088.6,35.8,57.2,5.6,1.2,0,0.29
0.82,5.324,31.776,43961.344,222.475,1.13,277.947,12.9,9.2,0.4,786801.6,4340673.6,123355.2,424844,37.6,0,638,22837.6,11643.4,21073.4,38.2,55.8,5.2,0.8,0,0.35
0.82,5.686,31.813,37800.96,216.913,1.11,275.903,12.44,9.2,0,786660,4558297.6,132861.6,424759.2,9.6,0,80,20985.6,12841.4,22718.6,38.2,56.2,5,0.8,0,0.24
0.8,4.093,42.02,16694.272,202.388,1.34,260.363,11.02,10,0.6,989488.8,3585112.8,135896.8,422988,9.6,87679.2,9.6,103114.4,11544.6,16898,39,55.6,4.2,1.6,0,0.56
0.89,5.236,31.917,37251.072,199.931,1.28,333.242,9.89,8,0.4,785379.2,4674167.2,137000,422869.6,6.4,0,1522.8,19051.2,11404,20625.4,40.2,53.4,5.6,0.8,0,0.42
0.78,4.631,28.476,33826.816,173.276,1.29,213.154,12.89,7.8,0.2,785304.8,5137348,137499.2,431280.8,6.4,0,305.6,17945.6,10643.6,19498.2,40.8,51.2,7.6,0.8,0,0.26
1.09,5.027,24.233,14959.616,188.914,1.25,441.92,6.44,7.4,0,785216.8,4522585.6,137701.6,428596.8,2.4,0,2.4,18824.8,11374.4,20649.6,46.4,45.6,7.2,0.8,0,0.27
0.97,3.903,39.116,12867.584,211.235,1.23,335.754,7.39,7.6,0,1172992.8,4827028.8,137774.4,437328.8,10.4,99750.4,11.2,114198.4,11445,16129.6,40.8,53,4.6,1.8,0,0.31
1.21,5.704,19.904,22566.912,269.43,0.92,513.047,6.07,6.2,0.8,785476,5469212.8,137821.6,441724.8,9.6,0,10.4,20746.4,12587.2,22663.8,44.4,47.4,7.8,1,0,0.36
