r,b,交换,空闲,缓冲,缓存,si,so,bi,bo,in,cs,us,sy,id,wa,st
8.33,0.33,857049.33,4445632.00,9554.67,432363.33,50.83,212.83,232.83,399.50,3298.83,6280.67,29.50,55.83,14.50,0.00,0.00
8.50,0.00,856665.33,4295769.33,9905.33,433122.00,73.50,212.83,102.83,379.33,3848.83,8350.17,31.17,55.00,14.00,0.00,0.00
8.67,0.00,856324.00,3605395.33,10214.67,436270.00,54.17,212.67,169.50,355.83,3712.83,7542.00,31.83,54.17,14.17,0.00,0.00
9.00,0.00,888280.67,1717196.67,4506.67,247120.67,2666.17,10674.50,27162.17,10830.33,5717.17,9140.17,24.17,60.83,14.67,0.33,0.00
11.50,1.67,1047871.33,200884.67,3433.33,230585.33,1186.83,84634.33,47164.33,84794.33,7325.17,7981.17,14.50,70.83,13.50,1.00,0.00
13.33,0.50,1071479.33,190291.33,2884.67,213187.33,1533.50,73261.83,40809.17,73429.17,6674.83,8236.50,15.17,70.50,13.50,1.00,0.00
9.00,0.17,928397.33,6424916.00,8378.67,353887.33,512.17,234.33,10245.67,366.83,3925.17,7508.33,47.33,38.50,13.83,0.17,0.00
9.33,0.17,931830.00,6105570.00,9564.00,399381.33,533.00,22063.00,3624.50,22240.83,3739.17,6009.83,39.50,46.33,14.00,0.00,0.00
8.67,0.00,919658.67,5548201.33,10050.67,408517.33,213.00,217.83,343.17,406.33,4007.67,8085.67,47.33,39.17,13.17,0.00,0.00
10.00,0.00,1211830.67,5199205.33,10426.67,410312.00,178.17,89001.17,250.50,89183.67,5064.67,7706.17,34.67,51.67,13.50,0.17,0.00
10.17,0.00,891908.00,5303387.33,10760.00,411952.00,84.83,219.00,161.83,340.17,3091.17,6209.00,38.00,48.33,13.67,0.17,0.00
9.50,0.00,890670.67,4688410.67,11040.00,412638.67,77.50,218.83,157.33,322.00,4334.50,8308.17,46.33,39.50,14.00,0.00,0.00
9.50,0.33,890500.00,4078776.00,11538.67,415958.00,156.17,218.67,248.50,370.67,2882.17,5439.67,40.33,45.83,13.50,0.00,0.00
10.17,0.17,885321.33,4330522.67,12002.67,430378.67,740.83,219.00,961.00,332.33,3192.67,5774.17,36.67,49.67,13.50,0.00,0.00
10.00,0.00,884980.00,4607947.33,12382.00,434272.67,52.83,219.00,83.83,366.83,3134.33,6439.00,36.83,49.67,13.67,0.00,0.00
10.50,0.17,884510.67,4801173.33,12788.00,431476.67,70.83,218.83,105.83,346.67,4074.83,7790.17,37.17,48.67,13.83,0.00,0.00
10.17,0.17,884340.00,4175264.00,13108.00,433364.67,50.17,218.83,80.33,360.67,3309.67,5965.83,36.17,50.00,13.67,0.00,0.00
9.17,0.00,884126.67,3877839.33,13397.33,431831.33,108.17,218.67,210.33,389.17,3781.83,6735.00,33.67,52.00,14.33,0.00,0.00
9.67,0.17,883956.00,3523759.33,13717.33,434426.67,54.83,218.50,85.67,353.17,3759.00,7239.00,34.33,52.00,13.50,0.00,0.00
11.17,0.17,972832.67,195504.00,4956.00,245234.67,16454.83,43568.50,37699.83,43740.33,7046.67,8600.17,25.67,60.17,13.67,0.33,0.00
11.17,0.17,1046592.00,440528.00,3978.00,314552.00,137.33,71772.83,10319.00,71912.67,8987.17,7190.17,22.00,63.67,13.67,0.50,0.00
13.17,0.17,1005604.67,385385.33,1433.33,207342.00,329.83,56715.50,31405.67,56888.00,6023.00,8042.33,23.50,62.33,13.33,0.50,0.00
11.50,0.00,947730.00,6452329.33,2470.67,331107.33,767.50,235.33,19033.50,381.17,4594.33,8234.67,46.33,40.00,13.67,0.17,0.00
10.83,0.33,948726.67,6192706.67,4540.67,373297.33,534.83,22067.33,2982.50,22231.83,4343.50,7147.33,44.17,41.83,13.83,0.00,0.00
10.83,0.17,939736.00,5552012.67,4930.67,389265.33,7937.50,222.00,9585.67,379.83,5904.50,10529.17,46.50,40.17,13.17,0.17,0.00
11.83,0.33,937773.33,5233745.33,5221.33,394190.67,123.50,221.83,386.33,372.50,4036.17,7574.83,47.33,39.50,13.17,0.00,0.00
10.50,0.00,974401.33,4853266.00,5589.33,399672.00,638.83,26843.17,1167.17,27024.33,4200.50,6601.67,40.00,46.17,13.83,0.00,0.00
10.83,0.00,1566590.67,4232283.33,5925.33,409176.67,76.17,134775.67,229.67,134906.17,4755.67,7608.00,40.33,46.50,13.33,0.00,0.00
10.00,0.50,871040.00,3926228.67,6236.00,409184.00,76.17,223.67,186.67,380.83,2905.17,5432.00,47.17,39.17,13.50,0.00,0.00
11.17,0.17,1186446.00,3651506.00,6580.67,411433.33,727.50,98584.33,1038.83,98747.50,5201.67,7920.33,35.50,50.50,13.67,0.17,0.00
11.17,0.00,1081168.00,3715128.00,6902.67,413224.67,82.83,93556.83,113.67,93689.33,5781.67,8322.83,35.00,51.33,13.67,0.00,0.00
10.33,0.00,864656.00,4695262.67,7256.00,410524.00,67.50,226.00,110.33,376.67,3488.17,6494.33,40.17,46.50,13.50,0.00,0.00
10.83,0.17,1070536.67,3015095.33,7574.67,415055.33,50.17,94536.67,81.00,94658.50,4782.67,6332.50,37.83,48.67,13.67,0.00,0.00
10.83,0.00,862013.33,3979317.33,7866.67,416222.67,47.50,227.17,79.00,349.00,3022.17,5916.50,44.33,42.67,13.17,0.00,0.00
11.33,0.00,861420.67,3269128.00,8120.00,413014.00,58.83,228.33,145.50,373.00,3215.50,6201.50,39.67,47.00,13.50,0.00,0.00
11.67,0.17,933796.00,320712.00,4465.33,263099.33,4292.67,41709.00,33686.83,41842.17,6381.33,8972.00,30.17,56.33,13.17,0.33,0.00
11.50,0.00,974104.67,1046251.33,7156.67,353382.00,346.33,31270.50,13762.67,31435.67,5366.83,7500.83,34.00,52.50,13.33,0.17,0.00
12.83,0.33,1031030.00,560160.00,3712.00,221317.33,938.83,45957.67,29104.50,46123.00,6035.00,8802.17,25.00,61.33,13.67,0.00,0.00
