r,b,交换,空闲,缓冲,缓存,si,so,bi,bo,in,cs,us,sy,id,wa,st
11.17,0.00,905022.67,4107123.33,12631.33,433770.00,102.33,85.00,327.00,274.00,4105.00,7905.67,38.50,46.50,15.17,0.00,0.00
11.17,0.50,1216454.67,2194060.00,13033.33,434791.33,58.33,128066.17,141.17,128229.33,5490.33,8362.33,31.50,53.33,15.50,0.00,0.00
10.50,0.00,900552.00,3258126.67,13289.33,434708.00,34.33,86.33,62.50,252.00,4578.50,9210.50,42.50,42.50,14.83,0.00,0.00
12.83,0.00,925824.67,762562.67,9120.00,337719.33,492.33,23400.33,17638.83,23552.00,5094.33,7431.00,31.00,54.00,15.00,0.00,0.00
9.33,0.00,984684.00,3174036.67,3306.67,358987.33,1060.00,86.67,15907.83,225.00,24890.17,61518.67,19.83,64.83,15.33,0.17,0.00
12.33,2.00,1072802.67,325977.33,2473.33,252966.00,1445.33,66817.17,31274.67,66969.67,7012.00,9811.67,23.67,61.00,15.17,0.50,0.00
10.50,0.17,1011931.33,6447195.33,6565.33,333713.33,1117.00,108.00,21086.00,263.17,4880.83,8641.67,63.50,21.50,15.00,0.17,0.00
8.50,0.00,991344.00,6131224.67,9353.33,378976.00,5212.33,88.17,7521.00,237.17,5162.83,9347.50,56.00,29.00,14.83,0.17,0.00
8.17,0.33,1081145.33,5574380.67,9680.00,389028.00,295.67,61776.17,409.50,61921.17,4874.67,7528.00,56.50,28.67,15.17,0.00,0.00
8.83,0.00,944681.33,5059649.33,9954.67,390536.00,191.67,89.00,350.33,244.00,3730.17,6910.67,66.50,18.50,15.00,0.00,0.00
9.17,0.17,936789.33,4925660.00,10333.33,396518.00,312.33,89.67,1295.33,243.50,3907.33,7690.83,59.17,26.00,14.83,0.00,0.00
8.33,0.00,929493.33,4781249.33,10792.00,435415.33,1065.83,89.67,1474.83,247.33,3872.00,7542.33,60.83,24.33,14.83,0.00,0.00
9.67,0.00,1660640.00,3697167.33,11132.00,443669.33,84.50,128125.33,101.50,128297.17,5042.00,7692.33,45.83,39.17,14.83,0.00,0.00
7.50,0.00,894580.00,3657246.67,11440.00,445323.33,141.83,91.17,236.17,271.50,3567.33,6723.67,59.83,25.17,14.83,0.00,0.00
8.00,0.00,894208.00,3420827.33,11724.00,441777.33,39.83,91.00,58.83,267.50,19844.50,38432.00,39.17,45.17,15.50,0.00,0.00
7.50,0.17,893746.00,2763525.33,12032.00,447220.00,51.83,91.00,65.50,242.67,3580.50,6913.83,59.83,25.33,14.83,0.00,0.00
8.00,0.00,893266.67,3108722.00,12286.67,446580.00,36.50,91.00,94.17,260.00,2982.83,5964.50,56.33,28.83,14.83,0.00,0.00
8.33,0.00,892910.67,4246058.00,12521.33,445874.67,26.33,90.83,40.17,210.00,2270.50,5103.67,54.17,31.17,14.83,0.00,0.00
9.17,0.17,1346867.33,2311204.67,12744.67,444838.00,31.00,159760.00,55.33,159883.00,4876.50,6377.00,43.00,42.17,14.83,0.00,0.00
8.50,0.00,894354.67,2873387.33,11902.00,424106.00,31.67,713.50,93.33,893.83,4430.17,7010.17,49.50,35.83,15.00,0.00,0.00
11.33,0.67,1102272.67,103316.00,4345.33,224413.33,8954.33,83464.83,30316.50,83576.00,8677.83,8439.50,28.00,56.67,14.83,0.67,0.00
8.67,0.17,1142292.00,1537164.00,3319.33,314572.00,451.33,92346.67,11544.00,92479.83,4170.17,6077.00,48.33,36.83,14.67,0.00,0.00
5.33,0.17,990920.67,6349700.00,6705.33,367976.00,490.67,126.67,17542.17,279.83,4085.33,7148.33,56.00,28.00,15.00,0.50,0.00
5.67,0.17,964852.00,6068856.00,8982.00,399018.00,152.67,98.33,1059.33,232.67,3514.17,6317.00,53.33,31.67,14.83,0.00,0.00
4.50,0.00,978356.00,5705788.67,9901.33,416307.33,156.00,27694.67,1371.00,27959.17,4580.00,7626.00,44.00,40.67,15.17,0.17,0.00
4.67,0.00,1040657.33,5100548.00,10317.33,426476.67,70.00,70231.83,125.67,70376.17,4754.67,7523.83,44.17,40.17,15.17,0.17,0.00
6.17,0.00,943474.67,4419549.33,10612.00,427683.33,94.67,100.67,166.00,233.67,3811.50,6928.50,57.33,27.67,14.67,0.00,0.00
4.83,0.17,1520104.67,4591795.33,10978.67,440972.00,937.33,75668.67,1015.17,75841.17,3779.33,7175.83,34.33,50.00,15.17,0.50,0.00
5.17,0.00,917669.33,3860774.00,11448.00,441344.00,156.67,101.83,491.50,231.50,3859.33,7051.33,48.17,36.67,15.00,0.00,0.00
5.00,0.00,916944.00,4119215.33,11859.33,444724.00,162.67,101.83,179.67,463.50,4239.83,7791.17,43.50,41.83,14.83,0.00,0.00
4.83,0.00,1079284.00,3275554.00,12269.33,444191.33,81.33,86945.00,95.67,87122.83,4179.33,6518.50,41.00,43.83,15.00,0.00,0.00
4.50,0.00,1428494.00,2776058.67,12721.33,441888.67,35.33,78408.17,54.33,78661.17,4139.00,6745.50,38.83,46.00,15.00,0.00,0.00
4.83,0.00,1546845.33,2337052.00,13053.33,446368.00,75.33,108206.00,308.83,108353.67,8951.67,61503.83,31.33,51.50,17.50,0.00,0.00
4.67,0.00,905735.33,1624562.00,13450.67,446928.67,42.67,106.00,57.00,250.50,6645.33,84380.50,46.67,37.00,16.33,0.00,0.00
4.83,0.00,905900.00,1617836.00,13809.33,446304.67,55.33,107.17,139.67,347.00,8544.67,70774.50,42.50,40.33,16.83,0.00,0.00
6.67,0.00,941522.67,3214310.00,14043.33,420651.33,8414.67,108.83,8452.33,266.50,7851.17,66301.33,32.33,51.17,16.00,0.33,0.00
6.67,1.00,1712802.00,126344.67,5379.33,310448.67,35786.17,108012.67,64434.50,108178.33,10771.17,10444.67,13.17,67.17,15.17,4.33,0.00
8.50,0.33,1705824.00,102011.33,4314.67,258584.67,1734.67,150312.00,36397.33,150493.67,16136.50,8977.00,9.17,73.67,15.33,1.67,0.00
6.83,0.00,1038288.67,6483863.33,6213.33,339372.67,687.50,154.33,18992.17,302.17,3434.50,5683.33,62.50,22.67,14.67,0.17,0.00
