r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
6.0,0.0,936734.4,1792458.4,63608.0,371335.2,225.6,12849.6,17053.0,29055.2,10254.2,17331.6,27.4,61.8,9.4,1.8,0.0
5.6,0.0,883970.4,2349558.4,104852.0,382192.8,194.4,0.0,1399.6,16818.4,9942.0,18316.2,27.4,58.6,11.8,1.8,0.0
5.6,0.2,881813.6,2831779.2,124262.4,397544.0,764.8,0.0,1735.8,16036.0,10135.0,18177.4,30.6,57.0,10.8,1.8,0.0
6.6,0.2,864100.0,2810401.6,133672.8,405139.2,76.0,0.0,97.6,17468.0,9991.4,18951.0,31.4,57.6,9.2,1.6,0.0
7.0,1.8,918932.8,313676.0,57460.8,234873.6,909.6,40475.2,15105.2,50740.8,10400.0,13852.4,12.8,76.0,6.6,4.0,0.0
8.2,1.0,894391.2,742705.6,27699.2,274870.4,288.0,23418.4,29108.6,33855.2,9536.6,13256.8,16.4,77.4,4.2,2.2,0.0
5.0,0.2,899605.6,823222.4,36576.0,268514.4,173.6,3128.0,19628.0,18963.2,9551.4,17510.6,20.2,65.0,12.4,2.6,0.0
4.6,0.8,905648.8,2798404.0,76147.2,364361.6,2876.8,486.4,20300.2,17028.0,11582.4,19935.8,19.4,63.2,13.6,3.8,0.0
4.4,0.2,903612.0,1399495.2,108587.2,358568.8,108.8,0.0,856.0,15811.2,9666.8,18090.6,21.0,59.8,17.0,2.6,0.0
6.2,0.2,901871.2,2927658.4,125943.2,373635.2,302.4,0.0,1360.0,17391.2,11161.8,20157.6,19.6,63.0,15.0,2.6,0.0
4.6,0.4,899720.8,4169956.0,134360.0,400260.0,3616.8,0.0,9503.4,16905.6,10758.2,19833.6,22.2,60.2,14.0,3.6,0.0
4.4,0.2,889480.8,3395461.6,138373.6,448553.6,624.8,0.0,955.2,17274.4,10695.0,20168.2,18.0,59.2,18.8,3.6,0.0
6.4,0.6,1004223.2,121529.6,36530.4,212742.4,2292.0,65072.0,17979.0,72488.0,11437.6,11108.8,4.8,80.2,7.0,7.8,0.0
