stress-vm,stress-cpu(%),stress-io(%),avg-latency(ms)
4096M,30,20,5.605289328857308
3840M,30,20,5.324919103414639
3584M,30,20,5.331725412416288
3328M,30,20,4.660976248247257
3072M,30,20,6.208532592031033
2816M,30,20,5.986063154070051
2560M,30,20,5.458127812323948
2304M,30,20,5.34006321068966
2048M,30,20,5.08766190466691
1792M,30,20,5.404513591044658
1536M,30,20,6.074232171009377
1280M,30,20,6.0939113500759685
1024M,30,20,5.117304196834157
768M,30,20,5.693179799576676
512M,30,20,5.880391130260392
256M,30,20,6.842566460812785
4k,30,20,6.344099145717721
7168M,10,20,7.182347417591575
6912M,10,20,4.63124570743378
6656M,10,20,5.611118810883853
6400M,10,20,4.791164740967674
6144M,10,20,4.714963381727506
5888M,10,20,5.040610909361716
5632M,10,20,5.6302910119714875
5376M,10,20,4.289694658414585
5120M,10,20,4.390002868987701
4864M,10,20,4.346334389623651
4608M,10,20,4.581505187789964
4352M,10,20,5.112180929354695
4096M,10,20,4.922788522905121
3840M,10,20,4.473133051573341
3584M,10,20,4.321479419193941
3328M,10,20,4.1277313298147185
3072M,10,20,4.24474566352342
2816M,10,20,4.85920925387687
2560M,10,20,4.240319954792547
2304M,10,20,5.207461822364066
2048M,10,20,4.9189056612943345
1792M,10,20,4.716502879193033
1536M,10,20,4.7685667552356215
1280M,10,20,4.825487612910124
1024M,10,20,5.332011132902098
768M,10,20,5.007341367389084
512M,10,20,4.605133778854816
256M,10,20,5.190988140668158
4k,10,20,3.709344355107537
7168M,0,20,6.327403748588723
6912M,0,20,6.446847085922029
6656M,0,20,4.426635411392718
6400M,0,20,4.538139549734735
6144M,0,20,4.407678807482999
5888M,0,20,4.558485510863794
5632M,0,20,4.340612542802009
5376M,0,20,3.987872433995534
5120M,0,20,4.877221012037881
4864M,0,20,5.183846969076963
4608M,0,20,3.925464725119414
4352M,0,20,3.756864072388998
4096M,0,20,22.395683758294407
3840M,0,20,15.775293425509803
3584M,0,20,5.2657238418900905
3328M,0,20,4.973793821216124
3072M,0,20,5.903529181269001
2816M,0,20,5.329562888026662
2560M,0,20,4.617340392067179
2304M,0,20,4.0353826400808215
2048M,0,20,4.85859330701287
1792M,0,20,5.312239205129808
1536M,0,20,6.766183381694165
1280M,0,20,4.464386118408112
1024M,0,20,4.660241984207806
768M,0,20,4.4895773969786
512M,0,20,4.190269550243458
256M,0,20,4.691707882709533
4k,0,20,3.4488253788128196
