stress-vm,stress-cpu(%),stress-io(%),avg-latency(ms)
6912M,10,10,9.689957721938223
6656M,10,10,5.855930270627141
6400M,10,10,4.898100507025625
6144M,10,10,3.624488760519286
5888M,10,10,4.018721046422169
5632M,10,10,3.827370469943403
5376M,10,10,3.984731087025175
5120M,10,10,4.364771707313587
4864M,10,10,4.443700919356778
4608M,10,10,4.245096702764932
4352M,10,10,4.314364075574882
4096M,10,10,4.38312901662228
3840M,10,10,5.469482963102577
3584M,10,10,5.970761120556835
3328M,10,10,4.369831537348262
3072M,10,10,4.372602309623774
2816M,10,10,4.177965545920315
2560M,10,10,4.1925923784351875
2304M,10,10,4.309118608190891
2048M,10,10,4.27360915593516
1792M,10,10,4.595015860774034
1536M,10,10,5.038956433785062
1280M,10,10,4.554537271312809
1024M,10,10,4.059012913736181
768M,10,10,4.946502888389393
512M,10,10,4.5226689290533235
256M,10,10,4.61414282138531
4k,10,10,4.124885251910951
7168M,0,10,7.697163864645021
6912M,0,10,7.518574054608208
6656M,0,10,4.95139757792155
6400M,0,10,3.7472492456436157
6144M,0,10,3.5327162262124743
5888M,0,10,3.989620310330041
5632M,0,10,3.4104141241864987
5376M,0,10,3.8046630849680723
5120M,0,10,4.345735950746398
4864M,0,10,3.858674516696279
4608M,0,10,4.01930349418916
4352M,0,10,3.900693729519844
4096M,0,10,3.662940488176416
3840M,0,10,3.7163195775697013
3584M,0,10,4.037625545440015
3328M,0,10,4.136141782962017
3072M,0,10,3.8582111894124873
2816M,0,10,3.7588823238260254
2560M,0,10,4.229570681092429
2304M,0,10,3.501633048266573
2048M,0,10,3.8106292959844996
1792M,0,10,3.3489591652884574
1536M,0,10,3.5647848119060597
1280M,0,10,4.280928203037807
1024M,0,10,3.534445450000346
768M,0,10,4.18073022165778
512M,0,10,4.379524299275806
256M,0,10,3.888460912593144
4k,0,10,3.298358549428052
7168M,50,1,11.620831765723505
6912M,50,1,8.043338908231194
6656M,50,1,13.124955300429196
6400M,50,1,9.894899802632851
6144M,50,1,10.407728039556078
5888M,50,1,8.167883680691835
5632M,50,1,9.717799855978795
5376M,50,1,6.021787124465269
5120M,50,1,7.129495124045791
4864M,50,1,6.015211553009247
4608M,50,1,8.803313349137047
4352M,50,1,9.046505299448787
4096M,50,1,7.057587586527579
3840M,50,1,6.852793284824917
3584M,50,1,8.034238215271568
3328M,50,1,7.540472208402619
3072M,50,1,5.758635599645223
2816M,50,1,5.299425462407416
2560M,50,1,7.054890545321182
2304M,50,1,6.434126648047557
2048M,50,1,5.27989139640909
1792M,50,1,6.477475681263736
1536M,50,1,7.164765371627626
1280M,50,1,6.074099313645135
1024M,50,1,6.874971904382367
768M,50,1,7.283542744299331
512M,50,1,6.172156825508039
256M,50,1,6.627737554756485
4k,50,1,5.762381507800176
7168M,30,1,8.934667524930095
6912M,30,1,10.28754327395191
6656M,30,1,5.701713107881091
6400M,30,1,7.271068188750628
6144M,30,1,7.069607107144482
5888M,30,1,7.798190539081891
5632M,30,1,6.751487920950125
5376M,30,1,5.649560133765937
5120M,30,1,5.198847802948766
4864M,30,1,5.224611989511833
4608M,30,1,5.8439807035028934
4352M,30,1,5.617024974572502
4096M,30,1,7.377149438446459
3840M,30,1,6.953916438790255
3584M,30,1,6.8570128849574505
3328M,30,1,5.503037782244241
3072M,30,1,5.307177086653596
2816M,30,1,6.160242618658605
2560M,30,1,6.676947658543071
2304M,30,1,6.98637267648479
2048M,30,1,6.166814040745237
1792M,30,1,4.7738901647438565
1536M,30,1,5.388195937437372
1280M,30,1,5.72857961599959
1024M,30,1,5.216815764225494
768M,30,1,6.090965939731133
512M,30,1,6.268133179413225
256M,30,1,5.323338975261539
4k,30,1,4.715765113440392
7168M,10,1,10.296118607038494
6912M,10,1,8.652502324157979
6656M,10,1,6.341515647040473
6400M,10,1,6.22514797024514
6144M,10,1,4.89773399975835
5888M,10,1,5.488865541451143
5632M,10,1,4.396637688633983
5376M,10,1,4.612516990074745
5120M,10,1,4.43548400873259
4864M,10,1,4.459169648942494
4608M,10,1,5.205853310592479
4352M,10,1,5.371040175189476
4096M,10,1,5.390676877481474
3840M,10,1,5.903813874193013
3584M,10,1,5.007711568273099
3328M,10,1,7.787273456523945
3072M,10,1,5.297069945870828
2816M,10,1,4.584353269057901
2560M,10,1,6.265423038514588
2304M,10,1,5.557924729806406
2048M,10,1,6.25607091350197
1792M,10,1,5.3671234509938515
1536M,10,1,5.014764982581939
1280M,10,1,5.536344242888474
1024M,10,1,4.402480346152749
768M,10,1,5.001975656848236
512M,10,1,4.4936261613150945
256M,10,1,5.122206538890184
4k,10,1,4.0252617015544
7168M,0,1,3.943390908994173
6912M,0,1,3.6735581416709753
6656M,0,1,4.247415681637861
6400M,0,1,4.6153070377881384
6144M,0,1,4.1483008300168365
5888M,0,1,6.074029503139198
5632M,0,1,3.459528648116422
5376M,0,1,3.506695239531344
5120M,0,1,3.7074366590186907
4864M,0,1,4.199669422932914
4608M,0,1,3.5861420774174304
4352M,0,1,4.136409325135667
4096M,0,1,3.8239826574855043
3840M,0,1,4.446248788699098
3584M,0,1,3.9158250771316827
3328M,0,1,3.599883416153477
3072M,0,1,3.7237434671709004
2816M,0,1,3.351789326209083
2560M,0,1,3.5136334362231274
2304M,0,1,3.994996461753692
2048M,0,1,3.616061063868926
1792M,0,1,4.412865094878904
1536M,0,1,4.71097118449661
1280M,0,1,3.882638834856272
1024M,0,1,4.48214838374615
768M,0,1,3.5616388796627376
512M,0,1,4.73813294422014
256M,0,1,4.692132196456288
4k,0,1,4.392174466637182
