ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.95,10.322,25.268,1328.128,212.535,2.21,543.036,7.23,7.8,0.4,1325006.4,2680548.8,137331.2,416229.6,29.6,0.0,33.6,27116.0,21581.4,42511.4,35.6,59.2,4.6,0.6,0.0,0.545602
0.68,11.026,23.76,43790.336,220.339,2.27,348.512,12.72,7.6,0.4,1321472.0,4433367.2,137345.6,419696.0,41.6,0.0,101.0,29071.2,21057.0,45446.2,30.4,66.4,3.2,0.4,0.0,0.5397
0.74,10.136,24.253,37541.888,213.272,2.26,377.856,11.09,7.8,0.0,1317403.2,4265417.6,137356.0,424166.4,52.0,0.0,52.8,28147.2,19728.4,40021.8,31.6,64.2,3.6,0.4,0.0,0.595337
0.86,10.719,19.694,17482.752,228.086,2.31,508.011,8.59,7.2,0.2,1314385.6,3983060.8,137370.4,431018.4,1313.6,0.0,3431.4,26856.8,21618.8,43828.8,34.6,62.2,2.8,0.4,0.0,0.44995
0.86,10.706,22.47,25838.592,207.139,2.45,518.963,7.96,6.4,0.0,1301082.4,3953543.2,138065.6,450252.0,32.8,0.0,83.2,29131.2,21022.6,44077.4,37.6,58.4,3.8,0.6,0.0,0.561696
0.86,11.162,19.815,22719.488,232.067,2.34,529.621,8.18,7.0,0.2,1298480.8,4122488.0,138124.8,464650.4,11.2,0.0,44.0,30052.0,24632.4,46703.4,30.8,66.4,2.6,0.4,0.0,0.48149
0.89,11.674,17.557,24352.768,253.54,2.01,515.601,8.31,6.0,0.6,1297475.2,4690713.6,138380.0,470856.0,16.0,0.0,16.0,28632.8,21978.4,47281.6,32.0,63.8,4.0,0.8,0.0,0.572755
0.91,11.253,20.527,26609.664,257.944,1.82,497.491,8.35,6.6,0.2,1297636.0,4987225.6,138380.0,478929.6,19.2,0.0,26.4,30477.6,21689.2,45901.4,32.6,62.2,4.8,0.6,0.0,0.597982
0.93,9.399,32.607,24881.152,305.099,1.56,532.423,7.64,9.2,0.0,1505910.4,5241477.6,138384.8,477517.6,23.2,94944.0,23.2,121028.0,19384.8,37515.6,30.8,65.2,3.6,1.0,0.0,0.612124
0.85,11.391,28.105,20934.656,287.842,1.71,469.076,8.66,7.6,0.0,1557716.8,5511292.0,138388.0,477711.2,20.8,84308.8,20.8,110056.8,19101.8,45552.6,29.0,65.6,4.4,0.6,0.0,0.506045
1.02,10.92,24.227,18314.24,328.03,1.52,592.555,7.12,8.0,0.2,1295848.8,5488984.0,138392.0,484069.6,21.6,0.0,22.4,28721.6,22026.2,43858.6,31.8,63.2,4.4,0.6,0.0,0.560254
1.01,11.101,27.626,21846.016,324.748,1.49,582.54,7.22,8.2,0.0,1296459.2,5527272.8,138396.0,484978.4,8.8,16810.4,8.8,45331.2,19644.6,41769.0,35.4,59.6,4.4,0.6,0.0,0.571073
1.12,11.139,17.405,3742.72,342.095,1.48,736.374,5.62,9.8,0.4,1296408.0,5479024.8,138412.0,491786.4,8.0,0.0,8.0,29742.4,24176.8,45261.4,34.0,61.6,4.0,0.8,0.0,0.483986
0.97,8.984,40.277,10225.664,312.59,1.49,538.586,6.84,10.0,0.2,1437077.6,5838346.4,138412.0,487231.2,10.4,121483.2,10.4,145131.2,17255.2,34733.6,39.4,53.4,6.0,1.2,0.0,0.729717
0.9,9.338,41.435,15387.648,299.401,1.64,481.244,8.31,6.8,0.2,1363041.6,6118016.8,138415.2,490956.8,65.6,52428.8,68.0,78370.4,18816.4,36530.2,32.8,62.6,4.4,0.6,0.0,0.49627
0.9,11.088,29.702,16086.016,329.458,1.61,481.461,8.71,8.0,0.2,1315399.2,6301484.8,138416.8,491697.6,24.0,26214.4,36.0,51692.0,21304.8,45000.4,31.8,64.6,3.0,0.6,0.0,0.452171
0.58,8.575,66.772,18780.16,242.286,2.4,329.771,10.19,11.6,0.6,1685191.2,129640.0,14845.6,219016.0,38343.2,148397.6,55071.4,167068.8,21881.4,32155.0,14.2,79.6,3.0,2.8,0.0,0.497736
0.62,11.105,37.502,37057.536,246.454,1.99,328.794,14.52,6.6,1.2,1434815.2,4273945.6,44425.6,337997.6,4687.2,1028.0,10616.2,28535.2,20959.6,42533.4,21.4,73.6,4.4,1.0,0.0,0.401979
0.64,11.039,34.053,38762.496,247.862,2.1,331.46,14.19,11.2,0.0,1408447.2,4185960.0,109310.4,394459.2,2188.8,0.0,4489.2,28456.8,20347.2,43159.2,22.4,71.8,4.8,0.8,0.0,0.442265
0.66,11.212,27.183,20180.992,248.645,1.92,333.944,13.92,6.8,0.4,1354277.6,3276592.0,76545.6,418021.6,257.6,0.0,374.4,27177.6,19788.0,43662.4,27.2,68.6,4.0,0.6,0.0,0.414052
0.61,13.12,32.516,37486.592,250.304,2.09,332.391,14.78,7.2,0.0,1330572.0,4003120.0,117152.8,426831.2,118.4,0.0,388.8,29335.2,21652.0,52680.6,25.0,70.2,4.4,0.8,0.0,0.346543
0.59,11.364,31.032,50196.48,227.288,2.14,293.761,15.58,8.2,0.0,1327551.2,4245820.0,128884.0,433666.4,88.0,0.0,712.0,27118.4,18905.4,44542.0,29.4,66.4,3.8,0.6,0.0,0.372283
0.61,12.889,32.497,40799.232,238.009,2.09,314.754,14.61,8.4,0.0,1327192.8,4614860.0,133455.2,437273.6,73.6,0.0,84.0,28804.0,20144.6,50692.4,26.4,69.2,4.0,0.4,0.0,0.383659
0.61,11.723,30.01,51073.024,240.137,2.09,314.707,14.94,6.4,0.2,1326476.0,4772352.0,135161.6,443442.4,56.0,0.0,131.2,30767.2,21497.8,46166.2,27.4,68.0,3.8,1.0,0.0,0.41355
0.58,12.472,33.134,51123.2,218.234,2.2,282.702,15.75,7.8,0.4,1314444.0,4470306.4,136242.4,467130.4,48.8,0.0,50.4,28734.4,21394.8,49254.2,26.8,68.0,5.0,0.8,0.0,0.484547
0.59,12.106,46.578,50152.448,219.003,2.49,289.378,15.57,7.4,0.0,1312261.6,4339942.4,136800.8,481844.0,291.2,0.0,1439.0,28576.8,19749.2,46789.8,25.4,69.4,4.8,0.6,0.0,0.40295
0.62,12.613,38.892,47977.472,208.839,2.27,321.257,13.64,8.2,0.0,1309292.0,3806928.8,136874.4,480237.6,28.8,0.0,45.6,31004.8,21534.6,51083.6,23.0,71.0,5.4,0.6,0.0,0.493398
0.78,11.768,33.556,24017.92,216.633,2.4,456.085,9.27,8.2,0.2,1307858.4,3398638.4,136902.4,484746.4,174.4,0.0,174.4,27828.0,20575.8,47315.2,31.0,64.2,4.6,1.0,0.0,0.356642
0.8,11.654,28.016,38008.832,185.869,2.62,506.654,8.44,7.4,0.6,1306988.0,3189682.4,136924.8,492160.8,16.8,0.0,16.8,31320.8,22834.2,47425.6,26.8,67.8,4.8,1.0,0.0,0.434188
0.77,11.292,36.017,35088.384,175.448,2.78,460.135,8.64,6.8,0.2,1305443.2,3327076.0,136944.8,493096.8,465.6,0.0,1452.8,28797.6,21028.2,42656.2,29.8,63.4,5.8,1.0,0.0,0.505273
