ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),Swap Space,Idle Memory,Buffer,Cache,Swap In,Swap Out,blocks in,blocks out,Interrupts per second,Context Switches per second,User CPU time,System CPU time,avg latency
1.01,1.786,4.408,21062.656,325.859,0.88,444.542,12.61,968302.67,4356537.33,11477.33,427215.33,48.33,83.67,75.83,217.33,3466.83,6464.5,40.17,44.83,0.39
1.07,2.363,16.041,8925.184,349.593,0.85,424.052,10.87,1221892,5243256.67,10352.67,423898,1164.83,99533.67,1392,99701.5,6010.33,8403.17,36.67,49.5,0.39
1.17,1.934,5.621,22284.288,371.146,0.76,511.444,8.82,964889.33,6173416,8890.67,378239.33,276.17,21958.67,914.33,22147.67,4439.17,6821.17,49.33,35.83,0.38
1.04,1.874,3.908,32660.48,294.084,1.1,453.248,10.78,959108,3915440.67,12013.33,424126.67,45.17,131.33,97.17,323.17,3418.5,6590.33,56.33,29.17,0.38
0.9,2.713,16.686,24577.024,304.877,1.2,339.277,13.41,1011957.33,882328,2164,263744.67,1493.67,17233.17,28248.17,17399,5640.83,9099.83,31.17,54.83,0.38
1.13,2.164,15.444,8528.896,358.909,0.72,467.877,10.03,1211830.67,5199205.33,10426.67,410312,178.17,89001.17,250.5,89183.67,5064.67,7706.17,34.67,51.67,0.38
1.07,2.208,16.236,8864.768,336.557,0.85,461.365,10.14,1566590.67,4232283.33,5925.33,409176.67,76.17,134775.67,229.67,134906.17,4755.67,7608,40.33,46.5,0.38
0.91,2.395,14.124,27106.304,321.594,1.14,353.805,14.31,925824.67,762562.67,9120,337719.33,492.33,23400.33,17638.83,23552,5094.33,7431,31,54,0.37
1.12,1.905,8.261,13090.816,279.639,0.8,452.638,8.12,1697386,3231705.33,11556.67,415952,178.83,102575.83,239.33,102745.67,4267.83,6566.5,41,44.5,0.37
1.04,1.944,10.161,16030.72,333.99,0.75,424.853,10.43,1598128.67,2614749.33,13118.67,466513.33,67.17,153365.33,104.5,153534.67,4969.5,7054,32,53.33,0.37
1.2,2.042,3.747,6060.032,372.943,0.73,552.112,8.96,912106.67,5609129.33,9840.67,422548,154.83,199.17,196.33,324.33,3887.5,7523.33,46.67,40,0.37
0.57,2.068,2.956,748.589,227.66,0.85,240.806,16.09,990920.67,6349700,6705.33,367976,490.67,126.67,17542.17,279.83,4085.33,7148.33,56,28,0.36
0.92,2.949,19.399,8381.44,313.399,1.21,347.668,12.05,1021100.67,1169334,4351.33,263245.33,1482.33,35520.83,32853.5,35668.5,7306.33,10566.67,26.17,59.67,0.36
