ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.96,9.299,29.392,27388.928,275.366,1.73,514.207,8.16
0.91,10.673,23.364,19523.584,262.641,2.01,487.353,8.69
0.97,10.936,19.694,21000.192,303.260,1.68,513.293,8.16
1.00,11.084,20.819,18396.16,309.203,1.52,524.783,7.85
1.01,10.142,19.860,16005.12,330.368,1.47,566.091,7.46
1.05,8.569,23.085,10830.848,333.473,1.31,567.531,6.78
1.12,10.261,23.566,3253.248,323.294,1.44,645.777,6.17
0.95,9.193,26.609,11898.88,302.516,1.55,488.229,7.73
0.98,9.747,24.817,16001.024,337.236,1.41,460.78,8.69
0.64,7.538,42.150,27991.04,242.189,2.01,324.36,10.39
0.66,9.049,37.026,27030.528,234.212,2.08,321.381,13.10
0.72,9.110,27.136,23928.832,263.096,1.72,349.823,12.80
0.75,9.338,28.069,13612.032,272.659,1.67,353.142,13.08
0.71,9.877,28.846,41181.184,263.276,1.87,345.814,13.48
0.72,9.835,44.600,37382.144,264.774,1.79,341.412,13.60
0.66,12.322,20.368,28170.24,253.992,2.17,337.262,13.62
0.69,9.426,34.346,23628.8,266.948,1.85,350.252,12.36
0.68,9.965,31.768,38238.208,239.723,2.01,319.431,13.91
0.69,10.251,23.840,34564.096,250.123,2.01,325.885,13.58
0.67,10.732,26.223,41582.592,247.178,2.08,320.826,13.78
0.65,10.899,22.361,40921.088,235.857,2.13,307.502,14.59
0.68,9.203,26.991,19870.72,266.177,1.84,346.014,11.29
0.66,10.538,21.528,42014.72,226.744,2.09,308.507,13.85
0.76,10.912,23.883,35889.152,215.418,2.32,400.439,10.83
0.92,10.109,19.797,19897.344,217.406,2.18,511.406,7.72
0.92,10.317,23.862,21211.136,221.845,2.26,521.011,7.69
0.94,10.056,28.402,19494.912,246.068,1.98,534.515,7.55
0.85,11.649,24.233,20877.312,217.853,2.22,488.231,7.94
0.88,8.988,30.139,17113.088,239.236,2.02,489.747,7.61
0.81,10.140,32.228,13937.664,272.954,1.91,433.81,9.04
0.98,11.128,24.485,24322.048,295.745,1.60,555.651,7.55
1.16,10.174,26.013,16828.416,360.582,1.30,713.95,5.75
1.08,10.889,26.377,10550.272,327.932,1.40,652.051,6.08
