ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.80,4.327,30.138,28934.144,205.495,1.33,259.144,11.83
0.80,4.706,26.760,42230.784,221.143,1.24,271.71,12.50
0.79,4.536,31.683,36775.936,200.481,1.23,247.637,12.21
0.82,5.130,27.170,34598.912,219.010,1.33,272.834,12.04
0.76,4.529,27.354,29535.232,188.613,1.37,231.469,12.28
0.81,4.712,32.852,42769.408,216.187,1.32,265.034,12.53
0.82,3.273,32.834,15443.968,191.755,1.28,236.599,9.92
0.84,4.723,28.842,39817.216,215.674,1.29,286.973,11.29
0.89,4.807,32.353,35302.4,188.969,1.45,347.485,8.78
0.95,5.146,32.677,25313.28,178.767,1.59,373.917,7.77
1.02,4.856,31.348,23379.968,194.235,1.41,419.152,6.68
1.01,4.674,32.287,24650.752,193.599,1.39,396.083,6.96
1.04,5.132,29.817,26992.64,220.419,1.24,400.629,7.17
1.15,5.013,28.818,22220.8,251.269,1.09,461.859,6.19
1.06,4.583,28.475,24918.016,230.753,1.15,392.396,7.09
1.08,4.485,32.494,16394.24,242.064,1.12,415.264,6.44
1.14,4.348,29.425,13003.776,242.653,1.02,438.113,5.59
1.10,4.346,41.407,10706.944,245.919,1.10,436.607,5.98
1.11,4.436,33.914,19278.848,302.713,0.92,359.936,7.44
0.51,5.437,35.420,6439.936,147.969,1.74,186.222,11.32
0.79,5.109,34.643,46900.224,216.135,1.17,270.068,12.03
0.69,3.486,50.004,40081.408,167.069,1.39,211.706,12.26
0.72,4.069,31.014,39327.744,192.167,1.27,235.906,13.11
0.71,4.175,25.521,37673.984,179.377,1.34,227.195,13.29
0.77,4.904,23.650,41686.016,202.356,1.29,257.483,12.27
0.78,4.800,27.257,37311.488,196.909,1.23,247.525,12.18
0.79,4.694,29.238,45521.92,215.552,1.22,269.102,12.53
0.78,5.226,24.659,40813.568,202.885,1.19,253.578,12.34
0.78,4.134,32.860,27627.52,202.551,1.22,251.895,11.32
0.77,4.896,24.312,41882.624,209.462,1.24,257.648,12.41
0.70,4.548,25.040,39579.648,165.259,1.37,205.938,13.44
0.77,5.180,26.787,41592.832,199.599,1.26,248.602,12.78
0.72,4.625,24.887,42188.8,177.876,1.43,217.12,13.21
0.76,4.848,30.037,41989.12,195.265,1.30,241.389,12.20
0.73,4.668,24.736,38758.4,179.442,1.34,220.503,12.19
0.91,4.322,27.470,19044.352,162.565,1.37,292.525,8.05
0.97,5.180,25.226,22961.152,184.183,1.42,377.427,7.27
0.86,3.721,31.527,18832.384,202.141,1.27,299.772,8.07
1.01,5.052,30.886,27053.056,170.472,1.42,413.927,6.39
0.95,5.330,25.926,26427.392,168.492,1.51,390.109,6.79
1.05,4.789,24.759,22496.256,178.385,1.28,368.249,6.38
1.01,4.524,29.755,25210.88,182.131,1.30,355.773,6.77
0.96,3.710,31.930,20652.032,228.294,1.12,333.053,7.29
1.08,3.998,32.097,11879.424,248.929,0.99,409.932,5.73
1.28,4.813,31.732,16273.408,269.574,0.88,543.667,4.75
1.07,3.381,30.428,11267.072,208.561,1.01,349.997,5.79
1.22,4.940,31.803,24137.728,329.124,0.82,436.377,6.18
0.98,4.222,33.073,17938.432,255.171,0.89,273.534,8.11
0.36,5.828,29.810,8005.632,116.626,2.00,151.652,11.98
0.64,4.191,36.742,37541.888,168.614,1.25,214.782,11.91
0.63,3.547,40.723,30508.032,155.575,1.54,200.739,10.30
0.75,3.815,31.266,35419.136,162.109,1.18,203.41,11.08
0.78,5.048,25.729,41854.976,204.112,1.11,255.256,12.56
0.68,5.039,30.358,52099.072,171.184,1.37,211.22,13.97
0.71,4.662,21.300,45913.088,178.088,1.24,224.307,12.72
0.72,5.288,21.393,42804.224,178.877,1.22,221.35,12.98
0.72,4.043,32.560,32548.864,180.777,1.22,225.683,11.59
0.78,4.689,32.074,25925.632,170.684,1.25,232.457,11.28
0.67,4.873,25.926,42868.736,154.324,1.43,189.495,13.81
0.71,5.382,22.331,56124.416,186.169,1.20,228.457,13.66
0.70,5.471,27.223,48505.856,154.161,1.52,237.653,11.63
0.70,5.094,24.261,51507.2,168.014,1.33,218.775,12.53
0.88,5.207,25.890,47831.04,156.501,1.43,353.717,7.67
0.70,5.289,28.555,45879.296,158.553,1.40,226.275,12.09
1.12,5.104,26.261,27333.632,165.201,1.26,454.909,5.21
0.98,5.371,33.142,33873.92,147.512,1.50,427.329,5.70
1.15,5.245,26.032,28503.04,197.935,1.12,445.211,5.29
1.06,5.490,32.292,33335.296,194.747,1.20,426.976,5.88
1.02,4.885,28.749,27712.512,165.118,1.28,373.601,5.97
1.11,5.153,27.846,34125.824,214.336,1.01,427.17,5.70
1.27,5.222,32.392,26063.872,262.705,0.81,524.155,4.68
1.33,4.861,28.088,23257.088,274.195,0.76,553.138,4.34
1.38,5.313,29.894,20740.096,293.790,0.76,616.337,4.02
1.49,5.150,36.000,15251.456,294.944,0.69,669.952,3.45
1.29,5.159,43.577,16881.664,255.797,0.86,563.622,4.33
1.31,4.712,21.464,25328.64,311.930,0.68,446.853,5.23
1.12,4.646,36.289,26963.968,257.499,0.81,356.593,6.14
0.27,6.094,22.930,8132.608,89.633,2.17,118.869,11.99
0.56,3.459,94.607,29840.384,143.617,1.22,190.774,10.13
0.65,4.363,40.000,50211.84,156.471,1.19,196.604,13.06
0.68,4.484,49.372,25293.824,161.604,1.25,222.571,10.58
0.68,4.968,26.467,51602.432,170.112,1.09,214.035,13.50
0.66,4.118,42.725,56265.728,171.100,1.35,216.367,13.53
0.70,5.169,25.476,41419.776,174.063,1.15,217.775,13.44
0.66,5.355,31.756,54427.648,170.898,1.08,207.287,13.87
0.67,5.805,15.097,59971.584,177.633,1.15,218.8,13.60
