r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
8.6,0.0,1278535.2,5958270.4,142287.2,549699.2,2.4,0.0,2.4,25992.8,20111.0,44307.4,31.6,63.2,4.8,0.6,0.0
7.2,0.2,1318105.6,6092564.8,142292.0,560727.2,10.4,63247.2,10.4,82915.2,19346.8,33329.4,31.4,63.6,4.2,0.8,0.0
8.6,0.4,1288608.0,6207779.2,142304.8,559892.8,10.4,26214.4,13.6,49052.8,20693.6,44039.0,36.4,59.2,3.4,1.2,0.0
9.2,0.4,1374401.6,2709475.2,25010.4,363183.2,25.6,66149.6,1261.2,84364.8,18506.8,34773.0,24.0,72.0,3.4,1.0,0.0
8.4,0.0,1332388.8,2674536.8,25476.8,220314.4,13536.0,21000.0,20688.4,42094.4,20995.4,41982.4,23.8,70.4,4.0,2.0,0.0
8.2,0.0,1360456.8,4269639.2,97142.4,266536.0,1312.8,10167.2,6018.2,33405.6,19862.4,43179.6,23.8,69.8,5.6,0.8,0.0
6.0,0.4,1335269.6,4698417.6,126202.4,336248.8,143.2,0.0,2640.0,25268.8,21519.4,50326.8,23.0,70.4,5.8,1.0,0.0
9.8,0.0,1332300.0,4515449.6,134044.8,345603.2,45.6,0.0,56.0,25378.4,21516.2,46549.2,22.0,72.0,5.2,0.8,0.0
6.2,0.6,1330252.0,5012596.8,136088.8,359538.4,44.0,0.0,1728.0,24955.2,20949.8,47105.8,26.4,66.6,5.8,1.0,0.0
7.8,0.4,1328706.4,5303559.2,136712.8,366576.8,32.0,0.0,58.4,25444.0,21519.4,47150.4,21.8,71.6,5.8,0.8,0.0
8.2,0.4,1327458.4,5042145.6,136849.6,369526.4,26.4,0.0,106.0,24145.6,21793.8,51993.0,22.0,70.0,7.0,1.0,0.0
