ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.99,18.411,3.913,16251.904,270.759,0.95,448.62,9.68
1.19,2.169,2.997,21481.472,378.236,0.70,545.757,9.18
1.03,1.909,18.134,2207.744,316.474,0.88,375.932,9.99
1.21,1.999,3.788,25979.904,404.329,0.73,566.455,9.26
1.22,2.073,3.537,16274.432,375.216,0.83,620.826,8.64
1.22,1.566,3.581,18894.848,360.235,0.87,659.226,8.24
1.16,1.429,4.996,29976.576,324.724,1.03,596.396,9.12
1.02,2.094,2.539,39964.672,338.768,0.90,493.607,11.89
0.91,2.218,9.022,30217.216,279.289,1.09,315.718,14.16
0.97,1.604,4.121,48178.176,373.535,0.83,406.923,14.67
0.98,1.572,3.450,42081.28,381.353,0.80,418.225,14.80
0.86,3.624,20.224,9701.376,254.349,1.61,294.728,13.39
0.89,2.264,31.626,8852.48,275.877,2.03,321.82,10.50
0.93,2.763,11.990,14986.24,318.303,0.93,359.645,12.97
0.77,2.855,6.076,1454.08,249.897,1.28,285.636,14.68
1.23,2.229,3.914,13715.456,435.354,0.71,519.647,9.71
1.20,1.908,8.909,9224.192,375.076,0.87,577.538,8.28
1.28,2.275,2.622,10372.096,409.074,0.75,660.82,7.64
1.23,1.631,3.494,10354.688,387.401,0.81,555.381,9.10
1.10,2.119,10.865,10576.896,324.944,0.96,460.834,10.13
1.19,1.693,2.660,18445.312,367.000,0.89,620.863,8.99
0.96,2.464,15.057,13769.728,291.655,0.96,330.014,12.47
0.88,14.995,11.614,15604.736,278.907,1.07,325.429,12.20
0.77,15.400,4.115,26850.304,226.598,1.31,276.268,16.09
0.79,10.832,6.368,12942.336,187.845,1.25,236.631,14.57
0.85,15.544,4.204,20378.624,269.072,1.12,335.136,14.05
0.82,15.694,4.535,22935.552,255.686,1.12,315.826,14.88
0.78,16.392,4.786,31640.576,238.326,1.29,289.265,16.55
0.80,12.418,7.531,31582.208,221.041,1.19,277.297,15.11
0.82,17.148,7.118,29239.296,269.746,1.16,328.558,15.37
0.62,17.746,4.415,1036.288,184.125,1.48,228.311,16.26
1.18,2.336,5.492,16653.312,433.116,0.74,510.345,10.53
1.25,1.337,4.699,8471.552,435.409,0.72,671.526,8.60
1.26,2.024,4.451,11902.976,435.515,0.72,648.103,8.51
0.86,15.094,9.404,10389.504,234.105,1.24,349.536,11.11
1.13,1.541,4.952,14812.16,334.093,0.94,544.754,10.07
1.14,2.531,4.785,15864.832,320.446,0.95,572.846,9.21
0.98,2.362,15.370,13343.744,339.786,0.86,373.16,12.46
1.08,1.540,17.736,726.216,330.272,0.86,433.946,9.97
0.96,1.929,4.453,32819.2,366.485,0.90,398.903,14.94
0.77,15.485,4.372,22555.648,204.733,1.32,253.272,14.86
0.76,16.874,4.827,25048.064,213.285,1.22,259.274,16.31
1.00,1.570,8.358,28542.976,387.893,0.84,431.436,14.45
0.95,2.999,20.004,5806.08,311.054,1.33,370.254,11.04
0.92,2.949,19.399,8381.44,313.399,1.21,347.668,12.05
