ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms),category
1.24,4.3,31.77,8690.688,264.93,0.9,488.473,4.94,6.0,0.2,939135.2,5580980.8,138308.0,466983.2,1.6,95805.6,9.6,110807.2,11819.6,17178.6,39.2,49.4,9.4,2.0,0.0,0.41,1
1.33,5.084,28.975,18206.72,318.139,0.64,465.976,5.41,6.4,0.0,774672.0,6071905.6,138320.0,473644.0,4.0,0.0,4.0,19435.2,10722.0,20131.8,42.4,46.4,10.2,1.0,0.0,0.25,1
0.49,6.02,22.523,1197.056,135.313,1.58,175.361,12.07,3.8,0.8,775053.6,6489074.4,138345.6,476040.8,4.0,49.6,19.2,21343.2,13938.4,24697.6,53.8,31.8,13.2,1.2,0.0,0.11,1
0.78,5.433,20.638,36972.544,210.997,1.14,274.797,11.04,7.2,0.4,784908.0,2189684.8,69565.6,283163.2,4.8,3340.0,11722.8,22163.2,13550.2,21034.4,18.0,70.0,10.4,2.2,0.0,0.2,1
0.73,5.672,25.892,51578.88,170.191,0.94,214.945,14.13,3.6,0.2,790466.4,3964280.0,94372.8,430156.0,16.8,0.0,12496.0,21774.4,12457.8,23586.6,21.8,57.8,18.0,2.6,0.0,0.16,1
0.68,4.215,17.566,47710.208,145.899,1.02,185.495,13.84,7.0,0.2,790364.0,3119456.0,114390.4,440580.0,17.6,0.0,2971.2,12923.2,8874.2,15630.2,20.6,63.0,13.2,2.8,0.0,1.05,1
0.69,4.138,11.467,42543.104,138.641,0.95,178.09,13.17,5.2,0.2,790108.0,3172503.2,124204.0,453169.6,4.8,0.0,139.2,13124.0,8607.0,15554.0,21.4,58.6,17.0,2.8,0.0,0.31,1
0.68,4.849,14.102,45422.592,137.275,1.0,172.811,14.37,6.2,0.4,790108.0,4478116.8,129962.4,463525.6,18.4,0.0,62.4,18688.8,10408.2,20076.0,21.8,59.0,16.8,2.0,0.0,0.6,1
0.69,5.44,17.066,45435.904,166.118,1.18,212.243,13.28,4.2,0.0,788060.0,4801903.2,132556.0,484089.6,140.8,0.0,398.8,19396.8,11417.6,21361.8,24.8,59.0,15.0,1.6,0.0,0.46,1
1.03,5.821,14.769,39066.624,145.743,1.08,429.769,5.83,3.8,0.0,782983.2,3966635.2,133832.0,495080.8,17.6,0.0,325.6,22178.4,12791.2,24025.6,31.2,48.0,19.0,2.0,0.0,0.26,1
0.76,3.392,40.21,19914.752,128.348,1.45,235.128,8.02,6.2,0.4,1019477.6,4005897.6,134308.0,491701.6,2.4,100613.6,329.6,113200.8,10493.6,14707.0,19.4,62.6,13.8,4.2,0.0,0.31,1
1.16,5.469,15.607,36569.088,195.337,0.76,412.595,5.74,6.0,0.0,782656.0,4749370.4,134507.2,496017.6,13.6,0.0,75.2,18708.8,11859.6,21634.8,34.8,45.8,17.4,2.0,0.0,0.33,1
1.31,4.085,43.544,1117.184,191.59,0.98,463.408,3.8,5.4,1.6,950429.6,4575633.6,134691.2,489144.8,35.2,78584.8,481.8,93013.6,11401.4,17343.2,32.0,46.4,17.2,4.6,0.0,0.21,1
1.4,4.678,31.58,8845.312,241.823,0.69,560.291,3.64,3.8,1.4,1134644.0,5151468.8,134833.6,493819.2,8.0,101130.4,57.6,118348.0,11341.6,17731.0,31.4,48.0,16.6,3.8,0.0,0.27,1
1.58,5.752,19.44,4276.224,255.573,0.55,634.651,3.14,4.6,0.0,782956.0,5426729.6,134862.4,499103.2,4.0,0.0,30.4,19702.4,12235.6,23076.8,45.0,36.8,15.0,3.4,0.0,0.36,1
1.38,5.767,16.397,29809.664,320.157,0.46,434.79,5.21,3.4,0.4,783008.0,6143607.2,134892.0,495531.2,5.6,0.0,14.4,21030.4,12443.2,23926.8,35.4,43.6,18.4,2.6,0.0,0.24,1
0.3,6.986,18.157,1212.416,90.028,1.73,119.673,13.2,5.8,0.0,783008.0,6460498.4,134923.2,507668.0,5.6,63.2,46.4,23696.8,14870.4,27615.8,49.0,29.8,18.2,2.4,0.0,0.23,1
0.68,5.106,31.153,35588.096,183.486,1.35,237.424,11.93,5.4,0.6,805624.8,2888232.0,55158.4,293307.2,49.6,4844.8,29159.8,24413.6,16219.4,20299.4,12.6,75.8,8.4,3.0,0.0,0.6,1
