ipc,context_switches(K/s),cpu_migrations(/s),page_faults(/s),branches(M/s),branch_misses(%),L1_dcache_loads(M/sec),r_procs,b_procs,swap(KB),free(KB),buffers(KB),cached(KB),swap_in(KB/s),swap_out(KB/s),interrupts(/s),user_time(%),idle_time(%),iowait_time(%),avg-latency(ms)
0.63,7.989,31.389,53670.912,210.798,2.14,276.092,5.0,0.2,1166681.6,4309085.6,126319.2,363342.4,2509.6,0.0,16269.2,28.0,7.2,1.2,4.46610372574603
0.75,7.89,37.383,25835.52,220.022,2.01,338.106,6.0,0.4,1143641.6,3166730.4,135520.8,386870.4,2649.6,0.0,15995.6,31.0,6.0,1.4,4.770820051975235
0.64,7.287,31.726,43699.2,204.36,2.16,266.351,7.0,0.6,1131805.6,4805787.2,138775.2,395697.6,109.6,0.0,14900.6,28.0,6.0,0.8,4.806963653686817
0.66,7.844,34.59,50330.624,220.543,2.23,285.538,6.6,0.0,1128288.0,4927768.0,139832.0,397384.8,177.6,0.0,15908.0,28.2,6.4,1.2,4.4826056053144505
0.65,8.329,35.595,51328.0,230.456,2.18,305.27,6.8,0.0,1125112.0,4393143.2,140249.6,393423.2,68.8,0.0,17267.0,27.0,6.8,0.6,3.988165420765728
0.64,7.811,32.699,45565.952,206.122,2.08,271.338,7.8,0.0,1124014.4,5014582.4,140364.8,397838.4,148.0,0.0,15498.0,29.6,6.4,1.0,4.958189647980619
0.66,6.072,57.485,27348.992,222.931,1.86,287.085,5.8,0.0,1439027.2,3174820.0,140440.8,396278.4,68.8,136708.8,14857.2,23.6,6.4,2.0,5.80028546847965
0.74,8.105,43.953,46268.416,170.28,2.66,382.866,7.6,0.6,1120731.2,3831254.4,140485.6,394372.8,59.2,0.0,15719.0,33.8,6.0,0.6,4.466606323480962
0.91,7.687,49.986,21013.504,171.906,2.65,495.457,7.6,0.2,1119502.4,3181634.4,140512.0,398808.0,17.6,0.0,15471.6,37.4,6.0,0.6,4.507584679395633
0.74,8.017,35.375,42613.76,171.293,2.71,376.967,7.8,0.0,1118511.2,4013711.2,140528.0,402344.8,114.4,0.0,16294.8,28.8,7.0,0.8,4.48012031247263
0.86,7.659,39.332,34589.696,162.65,2.65,466.468,7.0,0.0,1117787.2,3813357.6,140560.0,398172.0,37.6,0.0,15805.8,35.6,6.0,0.8,5.07406021472271
0.83,6.609,30.441,19282.944,231.546,1.86,429.311,7.0,0.2,1833763.2,3646833.6,140581.6,401609.6,18.4,193004.0,14485.0,26.2,7.0,1.8,5.589897730457249
0.91,8.026,40.517,26566.656,196.033,2.33,497.739,7.8,0.0,1116510.4,4068115.2,140604.0,404951.2,20.0,0.0,16354.0,36.8,7.0,0.6,4.320831636717073
0.91,7.881,25.191,28466.176,201.502,2.18,475.46,5.8,0.2,1115931.2,4639242.4,140650.4,408544.0,24.0,0.0,16285.2,34.0,7.2,1.0,4.570180917639634
0.84,6.573,42.891,19570.688,246.858,1.83,413.779,5.6,0.0,1699263.2,4448098.4,140656.0,398274.4,64.8,169116.0,14301.0,28.4,6.6,1.4,4.899596934033921
1.02,9.213,26.77,31363.072,284.683,1.8,575.146,6.2,0.0,1114821.6,5024027.2,140656.0,403972.0,91.2,0.0,18758.0,35.0,8.2,1.2,3.7979565947983502
0.98,7.213,42.382,15709.184,268.005,1.7,542.561,6.4,0.0,1328019.2,4825732.8,140668.8,408612.0,3.2,111316.8,16767.0,31.0,7.2,2.4,4.927838152318875
1.18,8.37,33.729,11055.104,315.126,1.57,674.979,7.4,0.4,1114848.0,5158944.8,140682.4,405273.6,14.4,0.0,16958.6,39.2,7.2,1.0,3.857771555582682
1.24,8.299,49.805,17818.624,349.922,1.28,731.7,6.2,0.0,1113568.0,5231870.4,140867.2,406955.2,39.2,0.0,17222.8,40.8,6.4,1.2,4.360184214537108
1.04,8.069,38.925,19552.256,289.954,1.64,585.198,9.4,0.2,1113220.0,5648102.4,140876.8,401692.0,40.0,25177.6,16113.0,36.6,6.6,0.6,4.246908780873328
1.2,7.97,47.962,7955.456,328.541,1.44,731.689,9.2,0.2,1144784.8,5547039.2,140884.0,404099.2,45.6,28476.0,17956.2,42.8,6.6,1.6,4.347645086685413
1.16,8.035,63.216,21897.216,347.132,1.41,627.223,8.0,0.0,1108528.0,5990858.4,140888.0,403908.8,48.8,0.0,16105.4,36.4,7.0,0.4,4.005030036610078
1.01,6.586,80.254,22596.608,346.397,1.22,368.869,6.4,1.2,1187184.8,6174447.2,140907.2,397832.8,16.8,104857.6,15216.0,31.2,7.6,2.6,4.9953486522038775
1.0,7.17,81.323,20714.496,316.639,1.44,437.537,9.4,0.2,1143289.6,6332121.6,140908.0,403944.0,8.8,57280.0,15748.6,36.8,5.4,1.4,4.825367443803428
0.36,8.68,41.097,995.064,141.638,3.44,198.755,8.4,0.0,1106982.4,6519428.0,140910.4,407224.0,7.2,56.0,16976.0,46.2,7.0,0.6,3.9685629850981248
0.49,7.176,87.513,17146.88,208.57,2.62,295.428,5.4,0.8,1527009.6,113814.4,12168.0,234822.4,40287.2,156747.2,23651.4,11.0,3.4,7.2,4.995293021202087
0.54,7.512,101.818,28176.384,186.137,2.01,266.997,7.4,0.2,1467647.2,1867843.2,16720.0,303863.2,52871.2,72515.2,18843.2,13.8,5.2,7.4,6.347287256838912
0.6,7.634,61.069,52671.488,215.766,2.16,283.154,8.0,0.6,1228976.8,3719732.0,27058.4,299777.6,5965.6,2952.8,15772.8,23.0,6.8,2.0,4.908998123843781
0.6,8.408,48.476,57134.08,216.544,2.21,288.43,5.6,0.2,1182794.4,4574464.0,106884.8,383224.0,2320.0,0.0,16723.8,25.2,6.4,1.2,3.588926292465118
0.6,8.214,38.354,54406.144,203.418,2.3,269.998,5.2,0.2,1168304.8,4603671.2,130566.4,404029.6,76.0,0.0,16081.2,23.4,7.6,1.6,3.64907708441006
0.61,8.226,50.943,60489.728,206.2,2.34,273.649,5.8,0.2,1145162.4,4359451.2,137812.8,419427.2,4227.2,0.0,16548.2,25.8,6.4,1.8,4.205317350122738
0.57,8.595,36.516,62524.416,185.908,2.52,266.138,5.0,0.4,1136663.2,3891277.6,140564.0,419908.8,36.0,0.0,16921.2,25.2,7.2,0.6,3.7319154810727087
0.64,8.241,49.8,59230.208,210.38,2.67,321.613,6.0,0.8,1132516.0,4103767.2,141933.6,438560.0,264.8,0.0,15997.6,24.6,6.6,0.2,3.46296184040882
0.67,8.672,32.887,56716.288,182.843,2.61,358.486,5.8,0.2,1131594.4,3625363.2,142278.4,441576.8,100.8,0.0,17400.6,23.4,7.0,1.0,3.600393329654728
0.81,9.062,30.71,46687.232,172.146,2.94,505.907,6.2,0.4,1130212.0,3037728.8,142387.2,443527.2,16.8,0.0,17291.2,31.4,7.4,1.2,3.275655006450382
0.84,8.161,49.865,49925.12,157.738,2.94,521.791,6.8,0.0,1129700.0,3087620.8,142463.2,438404.8,6.4,0.0,15922.2,29.8,6.8,0.4,3.641531215403523
0.81,6.637,60.117,28068.864,231.418,1.98,475.618,5.2,0.2,1671083.2,3033768.0,142493.6,440899.2,44.0,198981.6,14568.0,21.4,5.6,1.4,4.152778280500067
0.9,9.125,17.468,37103.616,158.522,2.89,534.961,5.0,0.0,1127756.0,3079543.2,142508.8,442481.6,7.2,0.0,18694.4,29.6,10.2,1.6,3.818798430111944
0.89,8.435,41.108,36378.624,175.228,2.76,537.392,8.0,0.6,1121929.6,3117894.4,142711.2,449534.4,2150.4,0.0,17014.8,32.4,6.8,1.0,3.685016462095105
0.83,7.413,45.469,27544.576,247.199,1.9,454.64,6.6,0.2,1730476.8,3689774.4,143000.8,459474.4,12.8,177672.8,15226.2,25.0,7.2,2.2,4.055659567712931
0.89,6.443,67.624,18778.112,166.777,2.54,475.981,5.4,0.0,1184965.6,3686841.6,143023.2,449048.0,23.2,50488.0,15247.8,32.2,6.0,0.8,4.664515004013524
0.91,7.167,38.454,34110.464,183.838,2.29,467.233,7.2,0.0,1115016.8,4285236.0,143046.4,452786.4,55.2,0.0,14379.2,32.6,7.6,1.0,4.196090858523585
0.93,7.891,30.65,35731.456,202.426,2.05,465.035,5.8,0.0,1114455.2,4455434.4,143078.4,457531.2,26.4,0.0,16143.6,31.0,7.2,1.2,4.315239821860393
0.85,7.016,53.674,25233.408,246.557,1.77,401.781,6.2,0.4,1717110.4,4609802.4,143096.8,452466.4,17.6,161983.2,14596.2,25.0,8.0,1.6,4.414008065477025
1.09,8.544,24.026,28719.104,255.942,1.72,560.878,4.0,0.0,1113759.2,5069302.4,143117.6,457847.2,0.8,0.0,17516.6,32.4,8.6,2.2,4.047606620814332
0.84,6.449,58.653,13837.312,210.648,2.11,428.524,7.6,0.6,1358030.4,4817273.6,143150.4,454846.4,12.8,122654.4,14971.4,29.2,7.2,2.2,4.403568015379064
1.2,7.83,34.26,20797.44,330.534,1.29,691.523,7.2,0.2,1113696.0,5075120.8,143167.2,459762.4,19.2,0.0,15310.8,37.0,6.4,1.2,4.101583192317475
1.36,7.601,50.416,12507.136,343.244,1.16,834.127,7.6,0.4,1112928.0,4979444.0,143192.0,455922.4,1.6,0.0,15506.2,40.8,6.4,1.0,4.6245047339686645
1.36,6.873,33.579,9718.784,306.95,1.22,743.373,6.6,0.0,1112569.6,5210036.8,143199.2,456748.8,14.4,0.0,13885.4,43.4,7.0,1.2,4.965620981135839
1.18,7.104,33.318,13105.152,291.439,1.48,619.666,5.0,0.6,1261746.4,5510876.0,143209.6,452875.2,103.2,81336.8,14653.4,32.0,9.6,1.8,4.335869410966136
1.04,8.061,20.638,26328.064,306.855,1.39,475.892,5.0,0.2,1111852.0,5861562.4,143216.0,462125.6,1.6,0.0,16636.0,33.6,8.4,1.6,4.218237164994361
1.17,7.932,24.137,23196.672,408.536,1.05,463.595,5.2,0.2,1111560.0,6149548.0,143217.6,462730.4,11.2,0.0,16076.4,33.0,8.0,1.2,4.156134510768279
0.85,6.404,56.248,16258.048,227.001,1.76,377.072,8.0,0.0,1136224.0,6299623.2,143232.0,457014.4,15.2,52428.8,14488.6,31.0,8.8,3.4,5.157140079600148
0.26,8.86,20.307,1141.76,111.673,4.08,161.35,6.0,0.0,1110900.8,6489973.6,143242.4,457525.6,7.2,40.8,18417.8,44.8,7.8,1.8,3.732674292686201
0.66,6.319,24.392,38668.288,215.685,2.01,284.11,8.2,0.4,1140655.2,880527.2,88040.8,355699.2,803.2,28598.4,16271.2,30.8,2.6,1.0,8.856855732955157
0.74,6.797,19.388,36727.808,231.457,1.8,299.776,9.4,0.6,1194156.8,3089057.6,80210.4,389596.8,2988.8,0.0,15128.6,35.4,4.2,0.4,7.502313554286957
0.73,6.305,26.441,34594.816,235.656,1.69,305.343,12.0,0.6,1182632.0,1591254.4,84750.4,366259.2,2612.8,5743.2,13924.8,33.8,4.0,0.6,8.794522355378897
0.71,6.697,26.472,30379.008,221.028,1.83,294.801,9.6,0.2,1183617.6,1447697.6,83868.0,352862.4,4940.0,4489.6,15274.2,33.6,3.8,1.0,8.459137396866016
0.77,6.552,29.342,31704.064,238.576,1.79,305.214,8.8,0.6,1146024.8,3726023.2,116368.8,355124.8,1669.6,0.0,13409.2,35.0,4.6,0.6,7.177172095011295
0.78,7.475,27.651,39087.104,269.351,1.9,348.05,8.0,0.6,1129612.8,3338484.0,132056.0,362589.6,230.4,0.0,14967.6,33.6,4.2,0.6,6.323508177952837
