ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.92,4.908,27.57,37102.592,172.547,1.58,380.294,7.55,6.4,0.8,1193462.4,4403668.8,138164.8,518754.4,540.8,0.0,587.2,19574.4,11465.0,20300.0,38.4,54.4,6.6,1.0,0.0,33.70733064556962
0.97,5.211,26.755,27602.944,173.164,1.63,403.741,6.83,9.0,0.0,1183148.0,4266758.4,138308.0,529150.4,2128.0,0.0,4519.6,20820.8,11872.6,21406.0,38.2,55.6,5.2,1.0,0.0,37.33732717460317
1.01,5.159,23.236,29135.872,196.557,1.34,418.62,6.57,9.8,0.6,1180751.2,4659659.2,138343.2,527329.6,424.8,0.0,576.8,20628.0,11635.4,20974.6,35.8,57.8,5.8,0.4,0.0,35.513953
0.95,4.217,25.066,18594.816,145.286,1.7,343.211,6.39,8.2,0.0,1177570.4,4488371.2,138352.8,538836.0,680.0,0.0,2207.8,16919.2,8938.2,16682.8,39.8,55.0,4.6,0.8,0.0,52.71511731481482
1.08,4.798,26.733,28239.872,224.945,1.21,409.395,6.6,6.6,0.2,1175032.0,5180748.8,138364.0,538355.2,387.2,0.0,401.6,18983.2,10428.8,19139.6,39.0,55.0,4.8,0.6,0.0,37.5897035
1.18,5.037,26.898,22981.632,266.893,0.99,491.888,5.52,7.2,0.6,1172918.4,5252591.2,138515.2,542113.6,641.6,0.0,774.4,20018.4,11646.0,20535.6,39.8,54.6,5.0,0.8,0.0,35.92506966216216
1.16,4.565,23.942,18230.272,223.455,1.13,433.396,5.51,7.4,0.0,1170191.2,5406842.4,138832.0,539390.4,275.2,0.0,292.0,17445.6,10390.8,18158.6,41.2,54.2,4.4,0.6,0.0,46.1028654
1.28,4.638,27.565,15236.096,271.63,0.9,544.036,4.57,6.4,0.2,1168143.2,5329652.8,138835.2,543069.6,300.0,0.0,300.0,18341.6,10371.8,18754.8,45.8,49.0,4.6,1.0,0.0,41.4319635
1.31,4.625,24.882,10961.92,261.107,0.89,541.399,4.52,7.2,0.4,1166607.2,5538316.8,138849.6,542321.6,264.8,0.0,276.8,17553.6,10574.2,18505.6,45.2,50.0,4.2,0.6,0.0,42.204737473684204
1.1,4.435,30.688,15233.024,245.961,1.0,417.675,5.77,7.6,0.0,1223513.6,5891836.8,138873.6,544630.4,29.6,38466.4,29.6,57404.8,10699.8,18242.6,35.8,58.4,4.6,1.0,0.0,47.66386716666666
1.09,4.531,29.553,24669.184,294.801,0.86,345.806,7.47,6.8,0.6,1171542.4,6162071.2,138876.0,541095.2,15.2,26214.4,17.6,43553.6,11057.6,18044.4,38.2,56.4,4.6,1.0,0.0,39.69840936363636
0.37,6.176,22.945,7820.288,114.094,1.96,148.644,11.65,5.6,0.2,1165277.6,6310643.2,138877.6,542930.4,32.8,44.8,32.8,23072.0,13231.8,24097.0,48.0,42.0,8.4,1.6,0.0,31.430430773809523
0.65,3.641,48.175,30620.672,161.619,1.99,204.353,10.29,12.6,0.0,1263071.2,234158.4,32487.2,362025.6,5728.0,58992.0,36082.0,70938.4,11062.2,15630.4,13.2,80.2,3.0,3.6,0.0,101.27609892857141
0.66,4.531,40.434,45997.056,180.14,1.24,229.039,12.89,6.6,0.2,1397744.8,1527253.6,26444.8,358996.8,6301.6,24542.4,19109.8,41058.4,10490.2,17219.8,19.4,73.6,5.8,1.6,0.0,63.704472720930234
0.71,4.659,41.027,44623.872,191.673,1.14,247.089,12.58,6.4,0.6,1363960.8,1983496.8,67706.4,336760.8,7142.4,8927.2,9611.6,27116.0,11743.2,19216.4,20.0,71.0,7.0,2.2,0.0,41.03323417391304
0.67,4.776,23.767,43044.864,172.225,1.21,220.769,13.91,6.6,0.0,1348335.2,2472232.8,100281.6,369744.8,708.8,0.0,1366.0,18668.8,11601.6,19801.6,21.0,71.8,6.4,1.2,0.0,42.750286473684206
0.67,4.861,31.53,52927.488,177.062,1.25,222.31,13.89,7.6,0.4,1336354.4,2833846.4,117438.4,397742.4,680.0,0.0,4034.2,18898.4,10266.4,19143.6,18.6,71.6,8.8,1.2,0.0,38.4169857027027
0.71,4.767,31.27,58383.36,189.188,1.11,235.745,13.42,10.4,0.2,1333282.4,3650876.8,126833.6,401541.6,456.0,0.0,612.2,18672.8,10049.2,18490.8,23.6,67.0,8.8,1.4,0.0,37.01455142647058
0.7,4.671,30.178,43423.744,177.571,1.39,222.599,12.67,6.6,1.0,1319100.0,3591589.6,131381.6,429303.2,1539.2,0.0,2336.0,17536.8,10249.8,18209.8,23.0,69.0,6.4,1.6,0.0,43.14869696923077
0.69,4.97,32.7,53604.352,179.249,1.24,221.951,14.27,6.2,0.4,1312751.2,4287604.8,133408.8,433074.4,443.2,0.0,443.2,20054.4,10338.4,19255.8,24.4,66.6,8.0,1.4,0.0,37.77452287837838
0.63,4.668,26.147,50967.552,147.619,1.36,179.346,15.22,9.0,0.6,1309781.6,4635621.6,134262.4,431826.4,408.8,0.0,472.8,18519.2,9677.8,18159.8,27.4,64.0,7.2,1.4,0.0,42.85808772580645
0.72,4.061,36.583,35466.24,196.557,1.15,243.663,11.03,5.0,0.4,1479901.6,3273266.4,134687.2,435635.2,372.8,97933.6,372.8,114342.4,9996.2,16631.0,20.4,70.6,7.4,2.0,0.0,40.85940527941176
0.7,5.016,37.881,51538.944,184.563,1.21,226.823,13.54,8.4,0.4,1294930.4,4746081.6,134889.6,440700.8,272.8,0.0,272.8,21941.6,11010.2,21068.8,25.4,65.0,8.8,1.2,0.0,34.6954938051948
0.69,5.108,36.226,52075.52,183.332,1.26,224.318,13.7,6.0,0.2,1292022.4,4661280.0,135286.4,445276.8,393.6,0.0,406.4,20965.6,11209.8,20794.2,23.8,66.6,8.2,1.6,0.0,33.51160354666666
0.74,4.819,37.907,48789.504,153.611,1.42,255.356,10.1,5.6,0.6,1290764.0,4605416.0,135370.4,445824.8,15.2,0.0,15.2,18540.8,10488.2,18647.2,26.0,65.6,7.4,1.2,0.0,37.54797722368421
0.84,4.918,46.697,47263.744,163.835,1.4,334.714,8.25,5.6,0.6,1289883.2,4202060.0,135429.6,448266.4,11.2,0.0,11.2,20701.6,11048.6,20689.0,29.0,62.4,7.4,1.4,0.0,31.62209293258427
0.76,4.56,32.715,38406.144,134.973,1.63,260.156,9.18,8.8,0.0,1289570.4,4090950.4,135451.2,450071.2,80.0,0.0,80.0,18169.6,10690.2,18735.8,29.4,62.4,6.8,1.2,0.0,45.31570874137931
0.8,4.845,27.077,41059.328,131.136,1.56,285.904,8.46,8.8,1.2,1289312.0,4208904.0,135465.6,444043.2,88.8,0.0,88.8,19453.6,10909.4,19479.2,28.8,62.6,7.8,1.0,0.0,39.04829983076923
0.9,3.859,30.178,23352.32,202.559,1.11,327.482,6.51,5.4,0.4,1850517.6,3945384.8,135490.4,447811.2,206.4,150492.8,1176.2,164666.4,8997.4,14854.4,21.8,68.8,7.8,1.8,0.0,36.763100125
0.97,4.746,33.446,29898.752,132.35,1.57,390.276,5.79,5.2,0.0,1286583.2,4257549.6,135502.4,450492.8,486.4,0.0,486.4,18406.4,10557.2,18765.8,33.6,58.6,7.0,1.0,0.0,46.205110344827595
1.01,5.165,26.975,32749.568,161.25,1.33,396.254,6.06,6.2,0.0,1284061.6,4537375.2,135523.2,451363.2,380.0,0.0,380.8,20145.6,11170.8,20199.0,33.6,57.2,8.2,1.2,0.0,34.54672623880597
0.99,5.03,30.559,34211.84,171.45,1.26,380.543,6.28,7.6,0.0,1281828.0,4895302.4,135528.0,451151.2,282.4,0.0,305.6,19472.8,10920.4,19773.0,35.2,55.8,7.4,1.0,0.0,37.10717236842105
1.03,5.449,27.89,37291.008,206.948,1.07,392.409,6.47,8.0,0.8,1281211.2,5069999.2,135532.8,454402.4,71.2,0.0,178.4,21536.0,12099.0,21669.6,31.6,58.4,8.8,1.4,0.0,35.02339976315789
1.13,4.157,36.181,7656.448,206.202,1.08,423.678,4.59,7.0,0.6,1462241.6,4704876.8,135540.0,451628.0,114.4,78316.8,116.0,92669.6,10531.4,17079.8,32.6,58.6,7.2,1.8,0.0,34.69473528169014
1.05,3.442,49.211,17825.792,209.042,1.05,386.457,5.28,7.4,0.0,1501298.4,5231271.2,135544.0,444625.6,224.0,101060.8,231.2,114224.0,8954.8,13630.0,28.6,64.6,5.0,2.0,0.0,41.02264974242424
1.16,4.315,37.981,25221.12,251.117,0.92,471.122,5.02,5.6,0.4,1396200.0,5645884.8,135552.0,454879.2,413.6,58589.6,413.6,75456.0,9497.6,16506.4,32.4,60.2,5.8,1.4,0.0,38.06614983098592
1.09,3.688,39.47,15804.416,228.108,0.94,382.701,5.12,7.2,0.2,1475174.4,5591474.4,135613.6,451368.0,2357.6,103676.0,4315.4,116283.2,8875.0,13892.2,27.2,65.0,5.4,2.2,0.0,42.77229016949153
1.26,4.713,29.779,21335.04,263.077,0.82,551.128,4.4,6.2,0.2,1260356.8,5701104.8,135836.0,465351.2,46.4,0.0,52.0,19452.8,10440.8,19081.6,40.6,50.2,8.0,1.2,0.0,37.04876583116883
1.21,5.4,29.147,32369.664,321.415,0.67,344.604,6.96,6.4,0.4,1254673.6,6079729.6,135836.0,462130.4,484.0,0.0,484.8,20902.4,11873.6,21636.8,34.0,56.2,8.2,1.8,0.0,35.178554294871795
1.11,4.381,38.998,23892.992,278.338,0.8,357.578,6.12,7.8,0.2,1282339.2,6204477.6,135840.0,459568.8,434.4,48455.2,434.4,63716.0,10685.8,17452.0,31.0,60.2,7.2,1.8,0.0,37.33592019444445
0.27,6.012,34.52,9382.912,99.081,2.13,128.887,11.61,6.6,0.0,1249672.8,6451552.8,135856.0,464493.6,500.0,45.6,505.6,23234.4,13315.2,24390.6,45.8,41.0,11.2,2.0,0.0,29.184095247619048
0.6,3.507,79.867,24286.208,150.532,1.38,197.449,9.83,8.8,2.4,1383419.2,254220.0,42768.0,325314.4,3048.8,76423.2,17073.6,85318.4,10545.2,12556.2,12.2,78.0,2.6,7.2,0.0,125.60914992
0.63,5.1,35.33,62064.64,167.225,1.16,201.952,14.29,4.8,0.4,1256163.2,3511001.6,67671.2,420801.6,450.4,0.0,1700.0,20035.2,10804.0,20149.8,17.4,71.4,9.6,2.2,0.0,37.16691483333333
