stress-vm,stress-cpu(%),stress-io(%),avg-latency(ms)
2560M,50,1,0.738473
2304M,50,1,0.628996
2048M,50,1,0.688324
1792M,50,1,0.878161
1536M,50,1,0.941119
1280M,50,1,0.790356
1024M,50,1,0.787472
768M,50,1,0.859228
512M,50,1,0.901702
256M,50,1,0.827552
4k,50,1,0.585051
7168M,30,1,0.924732
6912M,30,1,0.982814
6656M,30,1,0.865975
6400M,30,1,0.797064
6144M,30,1,0.869827
5888M,30,1,0.970317
5632M,30,1,0.938769
5376M,30,1,0.991763
5120M,30,1,0.707220
4864M,30,1,1.000681
4608M,30,1,0.736565
4352M,30,1,0.723030
4096M,30,1,0.815337
3840M,30,1,0.675699
3584M,30,1,0.801860
3328M,30,1,0.710988
3072M,30,1,1.022821
2816M,30,1,0.598996
2560M,30,1,0.752988
2304M,30,1,0.689967
2048M,30,1,0.920778
1792M,30,1,0.778339
1536M,30,1,0.764638
1280M,30,1,5.312529
1024M,30,1,2.438763
768M,30,1,0.683841
512M,30,1,0.804525
256M,30,1,0.780412
4k,30,1,0.649197
7168M,10,1,1.073651
6912M,10,1,0.982633
6656M,10,1,0.761502
6400M,10,1,0.714355
6144M,10,1,1.214816
5888M,10,1,1.981641
5632M,10,1,2.054111
5376M,10,1,2.117108
5120M,10,1,3.262718
4864M,10,1,2.876996
4608M,10,1,0.772616
4352M,10,1,0.826304
4096M,10,1,0.730763
3840M,10,1,0.911529
3584M,10,1,0.852797
3328M,10,1,1.830155
3072M,10,1,1.044066
2816M,10,1,0.788999
2560M,10,1,0.805661
2304M,10,1,0.695254
2048M,10,1,1.101384
1792M,10,1,0.777458
1536M,10,1,0.610553
1280M,10,1,0.683454
1024M,10,1,0.658065
768M,10,1,0.679632
512M,10,1,0.668368
256M,10,1,0.824337
4k,10,1,1.582505
7168M,0,1,1.684188
6912M,0,1,0.890606
6656M,0,1,0.657680
6400M,0,1,0.580060
6144M,0,1,0.705879
5888M,0,1,0.603096
5632M,0,1,0.648381
5376M,0,1,0.745802
5120M,0,1,0.549530
4864M,0,1,0.650258
4608M,0,1,0.654464
4352M,0,1,0.640581
4096M,0,1,0.625690
3840M,0,1,0.686900
3584M,0,1,0.658748
3328M,0,1,0.501795
3072M,0,1,0.571831
2816M,0,1,0.969524
2560M,0,1,1.251270
2304M,0,1,0.664602
2048M,0,1,0.643731
1792M,0,1,0.598744
1536M,0,1,0.587678
1280M,0,1,0.721368
1024M,0,1,0.429903
768M,0,1,0.660869
512M,0,1,0.616386
256M,0,1,0.488326
4k,0,1,0.512429
