ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
1.08,7.039,21.499,16876.544,311.052,1.28,429.92,7.14
0.48,7.425,27.582,1251.328,154.309,2.70,206.882,12.29
0.60,5.398,50.524,34001.92,193.826,1.95,253.63,11.50
0.62,8.15,33.805,60223.488,210.590,2.16,273.821,14.96
0.68,7.538,30.093,34463.744,228.165,2.14,296.096,12.23
0.66,7.733,27.094,40431.616,209.594,2.08,277.116,13.34
0.66,8.318,19.196,45205.504,216.180,2.12,283.197,13.88
0.69,8.097,14.532,34145.28,219.726,1.96,282.49,13.71
0.66,6.864,24.563,29539.328,228.648,1.87,291.925,11.75
0.66,8.697,17.483,48541.696,215.862,2.16,283.474,13.61
0.64,8.59,21.020,42883.072,204.910,2.29,269.234,13.69
0.66,8.308,24.234,40397.824,209.269,2.20,276.284,13.50
0.62,8.582,25.770,49124.352,196.875,2.31,254.568,14.54
0.77,8.161,28.566,48636.928,179.805,2.34,378.905,9.49
0.74,7.856,32.674,41812.992,161.419,2.69,340.74,9.86
0.77,8.293,30.023,42502.144,174.171,2.59,380.67,9.39
0.91,8.318,33.176,33420.288,190.720,2.45,491.344,6.98
1.05,8.577,37.692,17392.64,236.786,2.02,549.275,6.12
0.96,8.387,46.207,30896.128,212.812,2.24,508.088,6.72
0.91,7.822,41.462,26212.352,191.390,2.33,468.073,6.82
0.96,7.967,28.889,28967.936,213.561,2.13,464.836,6.94
0.98,7.947,25.018,28959.744,215.380,1.95,438.625,7.16
1.05,8.704,14.988,26183.68,248.389,1.73,504.336,6.29
1.12,8.395,18.774,20669.44,285.469,1.56,577.304,5.49
1.20,8.708,16.276,17585.152,317.554,1.36,643.054,4.98
0.83,7.733,28.132,23916.544,224.229,1.98,385.947,7.99
1.22,7.618,21.030,12445.696,293.027,1.36,624.242,4.56
1.07,7.962,34.312,14822.4,272.713,1.60,547.791,5.57
1.02,8.053,33.773,21567.488,330.304,1.39,384.214,8.00
0.91,8.221,26.344,20131.84,270.051,1.70,437.833,7.37
0.36,9.532,25.925,943.508,148.114,3.43,207.819,12.50
0.58,6.691,47.195,30565.376,189.352,2.29,258.241,11.76
0.57,7.207,35.874,29799.424,177.771,2.33,244.932,13.20
0.63,8.196,38.833,46381.056,217.192,1.99,288.622,13.24
0.56,8.01,33.155,54237.184,186.384,2.25,245.881,15.68
0.58,7.755,36.081,57402.368,192.118,2.46,253.936,15.52
0.65,7.863,33.723,38552.576,180.663,2.34,293.514,12.20
0.57,8.313,20.015,52122.624,174.110,2.44,247.822,14.60
0.57,8.667,16.265,46516.224,184.442,2.43,245.307,14.93
0.58,7.266,33.754,49841.152,177.669,2.21,232.756,14.15
0.60,6.13,38.706,25252.864,189.756,2.14,248.959,11.41
0.61,8.228,40.484,50210.816,176.608,2.59,280.918,12.71
0.73,8.966,17.839,48110.592,153.471,3.04,407.427,8.73
0.47,1.536,22.000,20936.704,72.663,1.80,90.089,16.56
0.51,2.029,20.309,17181.696,82.638,1.86,105.309,15.56
0.64,7.376,13.234,37799.936,138.165,2.79,281.671,10.59
0.87,7.544,13.100,22949.888,148.742,2.62,426.879,6.38
0.93,6.871,12.938,14675.968,142.391,2.40,421.524,5.58
0.84,6.839,15.476,27470.848,129.742,2.79,388.41,6.71
0.99,8.195,13.779,32338.944,210.262,1.94,445.98,6.65
1.06,9.023,14.451,30196.736,249.608,1.78,525.532,5.83
0.91,7.122,17.780,18910.208,235.708,1.74,422.393,6.30
1.01,6.946,15.279,20807.68,216.879,1.76,445.439,5.71
1.01,5.904,15.026,20530.176,185.254,1.72,403.782,5.65
1.23,8.102,12.482,15157.248,293.985,1.38,655.094,4.31
1.26,8.33,13.823,18274.304,284.323,1.36,673.633,4.27
1.14,8.139,13.695,26204.16,331.039,1.24,497.538,5.99
0.85,7.258,21.527,16812.032,264.219,1.69,294.253,8.87
0.95,7.476,23.154,18073.6,261.272,1.53,380.791,6.76
0.26,10.113,11.217,1091.584,119.025,4.18,173.812,13.17
0.71,6.42,17.956,41657.344,232.397,1.79,297.921,12.00
0.68,6.701,18.588,44533.76,215.866,2.01,279.181,13.30
0.68,7.102,15.592,46727.168,204.705,2.12,264.009,14.09
0.73,6.749,15.809,39545.856,224.351,1.86,290.863,14.23
0.76,7.646,13.823,34573.312,233.103,1.90,305.885,13.15
0.61,4.276,18.559,32684.032,136.316,2.09,174.607,14.84
0.74,4.695,20.515,19287.04,182.327,1.75,234.69,12.47
0.61,5.239,16.626,40853.504,160.109,2.00,203.94,14.64
0.70,5.945,20.710,25942.016,198.429,2.20,256.226,13.18
0.63,5.606,17.315,37057.536,166.848,2.06,213.674,16.20
0.65,4.562,20.105,24813.568,157.096,2.07,203.592,14.41
0.73,6.011,16.305,30128.128,209.818,1.81,269.029,12.90
0.71,6.89,15.781,34699.264,210.137,1.95,270.09,13.69
0.74,6.733,18.936,32520.192,218.817,1.87,280.597,12.91
0.75,6.192,14.531,21672.96,203.474,1.85,259.54,12.76
0.70,6.129,15.860,30919.68,193.945,1.94,249.206,13.67
0.74,7.189,13.735,28785.664,224.098,2.03,289.432,12.92
0.77,7.18,16.842,31838.208,218.111,2.04,307.319,11.63
0.81,7.38,15.198,29217.792,202.450,2.17,350.586,9.93
0.88,7.117,14.699,25426.944,195.951,2.39,407.001,8.38
0.91,7.126,20.096,19297.28,191.742,2.19,400.841,7.85
0.89,6.526,18.606,18957.312,189.521,2.08,383.496,7.88
0.89,7.258,19.273,16173.056,209.417,2.16,386.346,8.42
1.00,5.974,21.551,14671.872,227.895,1.72,414.518,6.99
1.12,6.448,18.489,12076.032,282.323,1.39,538.951,5.82
1.11,6.948,16.467,9507.84,279.607,1.46,523.336,5.97
1.07,6.264,15.528,9620.48,249.777,1.47,467.985,6.31
0.91,5.694,18.230,13937.664,239.402,1.49,259.634,9.98
0.56,7.103,17.018,907.593,172.472,2.44,227.0,12.13
0.62,5.668,22.633,40546.304,180.656,2.19,233.926,13.48
0.63,6.5,19.369,44334.08,195.174,2.12,252.791,13.55
0.64,6.282,17.540,42120.192,196.938,2.02,254.151,14.77
0.64,6.303,15.123,43101.184,183.610,2.03,237.078,15.48
0.72,6.764,14.488,31687.68,210.933,1.91,275.764,12.58
0.72,7.297,14.027,36066.304,223.211,1.95,293.825,12.72
0.71,6.413,16.939,30033.92,201.780,1.85,262.073,12.93
0.71,6.897,16.825,34065.408,207.848,1.98,268.328,12.78
0.69,6.733,16.571,34768.896,198.934,2.04,259.662,13.57
0.70,5.951,20.191,29471.744,198.711,1.96,259.42,12.54
0.72,7.865,15.650,36917.248,225.814,1.94,294.178,12.98
0.69,7.148,19.433,32563.2,199.808,2.14,258.537,13.71
0.70,7.155,21.944,32148.48,205.351,2.08,267.646,13.03
0.68,5.287,29.852,17579.008,191.268,2.19,248.255,11.38
0.68,6.614,28.895,31287.296,187.117,2.17,242.808,12.76
0.68,6.749,19.531,28240.896,191.699,2.24,249.714,12.95
0.69,6.832,14.903,38108.16,206.745,1.94,265.992,13.39
0.74,7.387,12.816,29757.44,185.224,2.32,312.051,10.66
0.75,6.414,18.283,28676.096,172.526,2.16,288.795,10.19
0.75,6.758,15.572,26158.08,161.842,2.41,296.218,10.15
0.96,7.522,14.549,21308.416,222.999,1.90,428.186,7.41
0.88,5.935,15.692,15138.816,232.101,1.62,358.61,7.85
0.91,6.713,14.324,22006.784,214.133,1.86,377.376,7.88
1.11,7.905,13.863,14141.44,273.896,1.60,537.479,5.99
1.15,8.029,16.064,11467.776,298.384,1.43,585.726,5.47
1.17,8.159,13.321,11770.88,297.503,1.52,618.927,5.44
1.10,7.5,15.949,14860.288,326.985,1.26,433.501,7.25
1.05,7.426,17.713,19012.608,308.817,1.36,427.579,7.38
0.50,8.231,18.151,1183.744,165.943,2.75,223.748,12.45
0.59,5.627,54.622,26790.912,181.518,2.41,243.595,10.82
0.62,6.512,63.378,25518.08,182.005,2.02,246.11,11.55
0.66,6.631,43.670,28422.144,216.280,2.49,287.38,11.86
0.66,8.212,36.079,48734.208,218.539,2.10,291.881,14.08
0.67,8.126,41.675,50152.448,230.984,2.11,303.049,13.69
0.68,8.204,55.624,46954.496,228.307,2.09,303.102,13.17
0.67,8.055,38.020,46104.576,220.645,2.16,292.23,13.48
0.66,7.539,40.342,40292.352,200.965,2.13,262.296,13.82
0.69,7.546,35.079,25901.056,203.642,2.23,267.679,13.39
0.76,8.247,23.775,22872.064,202.786,2.22,325.557,11.00
0.65,5.708,36.545,23468.032,212.955,1.87,276.023,11.16
0.73,5.784,43.091,18646.016,205.002,2.08,335.63,8.31
0.62,7.173,18.103,34086.912,171.802,2.37,226.928,13.57
0.65,5.644,21.940,18980.864,193.495,2.00,248.913,10.76
0.75,6.393,15.773,19921.92,143.652,2.60,289.359,9.25
0.77,8.157,18.526,35424.256,169.016,2.53,378.37,8.82
0.81,8.249,14.529,28957.696,152.434,2.78,407.7,7.60
0.85,7.809,25.626,28122.112,160.590,2.70,434.336,6.99
0.95,7.37,28.046,22440.96,197.293,2.10,445.925,6.67
0.84,7.279,22.816,28912.64,171.506,2.36,404.961,7.36
1.00,6.604,18.717,17511.424,201.303,1.81,419.07,6.33
0.97,7.515,16.735,23317.504,218.068,1.85,428.331,6.77
1.14,8.606,13.886,17837.056,287.896,1.52,595.413,5.25
1.24,8.217,12.906,11035.648,305.616,1.38,674.248,4.41
1.31,7.926,16.015,5987.328,302.923,1.37,703.613,4.08
1.09,8.08,15.108,19233.792,267.777,1.56,559.841,5.45
1.09,7.734,16.987,23611.392,329.527,1.27,396.055,7.48
0.96,6.058,37.531,15191.04,254.013,1.46,358.103,6.97
0.36,8.068,13.394,1138.688,126.123,3.35,174.119,12.93
0.49,4.588,42.297,27454.464,147.793,2.19,192.445,12.70
0.48,5.728,41.905,15890.432,146.005,2.87,210.568,9.52
0.62,7.989,21.478,38100.992,203.718,2.01,273.544,12.62
0.61,7.979,21.217,44432.384,193.268,2.24,258.236,14.18
0.59,7.916,15.680,45512.704,192.595,2.19,254.337,13.90
0.60,8.393,16.895,46984.192,197.053,2.29,261.681,13.92
0.56,7.648,20.935,44656.64,171.728,2.69,229.016,15.48
0.66,6.683,23.558,24561.664,230.262,1.76,298.906,9.69
0.57,8.583,17.380,42286.08,178.834,2.51,237.362,14.01
0.62,7.67,22.020,47285.248,158.263,2.54,270.613,11.98
0.83,8.182,20.624,25231.36,165.255,2.49,398.726,7.54
0.63,6.204,54.176,23847.936,194.499,2.15,287.465,9.50
0.93,8.045,36.071,22486.016,149.085,2.67,487.44,5.80
0.91,8.6,38.882,39048.192,176.455,2.59,534.938,6.32
0.86,7.483,44.917,23954.432,244.666,1.83,453.632,6.55
0.94,8.053,40.158,36852.736,195.917,2.26,508.189,6.38
1.03,8.338,48.692,28261.376,227.277,1.99,510.872,6.20
0.97,7.822,52.903,35650.56,203.651,2.07,466.637,6.63
0.96,7.163,89.727,25263.104,207.868,2.11,473.02,6.06
1.20,8.04,62.077,33410.048,285.543,1.42,654.979,4.97
1.22,7.826,46.012,24496.128,294.588,1.44,655.867,4.68
1.15,7.864,22.580,20803.584,290.676,1.34,585.806,4.82
1.22,7.581,35.463,18226.176,294.107,1.35,651.759,4.32
1.43,7.429,42.756,8099.84,310.694,1.20,766.48,3.40
1.26,7.606,32.304,16500.736,297.471,1.39,711.112,4.09
1.19,7.602,31.097,26298.368,367.131,1.10,503.76,5.79
0.95,6.319,49.508,24421.376,304.885,1.21,319.574,7.95
1.03,7.655,17.731,25989.12,304.254,1.31,421.373,6.58
0.27,9.902,14.391,1127.424,121.504,4.10,175.098,12.82
0.70,6.233,30.983,39600.128,215.671,2.01,280.348,12.74
0.67,6.345,22.341,47344.64,210.703,1.96,271.978,14.15
0.73,7.27,18.781,36260.864,240.466,1.90,312.726,13.32
0.76,6.953,25.357,29820.928,241.043,1.84,319.196,12.61
0.79,7.02,24.858,32808.96,244.298,1.82,318.747,12.51
0.77,7.721,22.474,34531.328,248.710,1.89,325.218,12.69
0.76,6.662,19.359,29069.312,224.711,1.87,291.661,12.56
0.75,7.201,19.434,35946.496,240.575,1.88,313.549,12.44
0.77,7.067,21.406,29125.632,244.317,1.84,316.804,12.54
0.75,6.579,23.220,35885.056,231.699,1.77,297.467,12.88
0.75,6.979,18.637,33476.608,227.832,1.82,294.426,12.79
0.76,6.14,23.180,23777.28,211.880,1.80,273.137,12.62
