ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.8,0.2,1482507.2,2649452.0,139055.2,416055.2,93.6,65453.6,93.6,86403.2,16264.4,33525.8,27.0,67.0,5.8,0.8,0.0,0.697757
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.0,0.0,1389523.2,4427330.4,139879.2,418820.8,128.8,0.0,214.4,22528.8,21853.8,41538.4,24.6,66.6,7.8,0.8,0.0,0.733906
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.8,0.2,1389073.6,4759464.0,140196.0,417684.8,118.4,0.0,126.4,24321.6,21709.8,43665.0,24.6,66.2,8.8,1.0,0.0,0.688232
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.6,0.2,1388596.8,5093652.8,140272.8,415321.6,78.4,0.0,79.2,21855.2,20600.0,38895.0,27.6,63.6,7.6,1.0,0.0,0.733945
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.4,0.6,1387944.8,4760147.2,140329.6,414572.0,132.0,0.0,132.0,22320.8,20482.8,42404.8,28.0,65.8,5.8,0.6,0.0,0.769688
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.2,0.0,1387367.2,4983902.4,140356.0,418275.2,84.8,0.0,154.8,24353.6,21886.8,48474.6,22.6,70.2,7.0,0.6,0.0,0.636894
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.2,0.2,1386475.2,5574601.6,140381.6,416333.6,104.8,0.0,104.8,20874.4,18187.0,36190.6,33.2,61.2,4.8,1.0,0.0,0.679503
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.8,0.2,1860638.4,3507268.0,140395.2,419979.2,66.4,155688.0,66.4,174356.0,18901.2,35438.6,24.2,68.0,6.2,1.4,0.0,0.737524
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.4,0.2,1385344.8,5063651.2,140428.8,416322.4,76.8,0.0,80.8,21412.0,20191.0,40579.6,27.2,66.6,5.8,0.8,0.0,0.739624
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.8,0.0,1384736.8,4586284.0,140447.2,420591.2,96.0,0.0,96.8,23592.0,22344.6,44794.4,27.6,65.0,6.4,0.6,0.0,0.681109
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.2,0.0,1384016.8,4685770.4,140453.6,423113.6,68.0,0.0,68.0,21830.4,20906.8,40706.2,30.2,63.0,5.8,0.8,0.0,0.68161
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.4,0.0,1383236.0,4348752.8,140459.2,422827.2,55.2,0.0,81.6,22869.6,22383.2,41706.8,29.0,64.0,6.4,0.8,0.0,0.713444
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.2,0.0,1411488.0,4221377.6,140648.8,433749.6,866.4,33825.6,3657.2,55027.2,17612.6,35358.2,36.2,58.2,5.0,0.8,0.0,0.824724
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.6,0.2,1377210.4,4824812.8,140800.0,434993.6,61.6,0.0,78.4,23444.0,23195.4,44853.8,27.8,64.6,6.8,0.8,0.0,0.608916
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.2,0.2,1376811.2,5246690.4,140822.4,432248.8,57.6,0.0,57.6,23236.8,22240.2,44970.4,30.2,64.2,5.2,0.8,0.0,0.667576
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.0,0.4,1376465.6,5353312.0,140827.2,431663.2,49.6,0.0,49.6,23714.4,21504.6,44804.6,31.6,61.8,6.2,0.6,0.0,0.620145
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.2,0.0,1375836.8,5492388.8,140834.4,430527.2,117.6,0.0,117.6,23454.4,21225.4,47407.6,31.6,62.4,5.8,0.4,0.0,0.577194
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,5.8,0.2,1551705.6,5626090.4,140842.4,428926.4,100.0,112086.4,131.2,133360.8,19344.4,39002.2,31.4,63.0,5.2,1.0,0.0,0.648121
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.2,0.0,1375912.0,5578015.2,140852.0,427796.0,51.2,0.0,51.2,23295.2,22346.2,44775.8,31.6,63.0,4.8,0.6,0.0,0.652549
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.4,0.2,1375656.0,5926089.6,140856.0,432821.6,58.4,0.0,60.0,23102.4,21722.4,41995.0,35.6,60.0,4.0,0.8,0.0,0.631646
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.0,0.6,1375120.0,6157245.6,140860.0,434330.4,28.0,0.0,28.0,23268.8,21244.4,42533.8,34.0,59.4,6.2,1.0,0.0,0.647808
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.8,0.2,1374352.0,6442660.0,140864.0,437528.8,49.6,0.0,66.4,23712.8,20658.2,40011.4,33.2,60.8,5.0,0.8,0.0,0.660073
