r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
5.8,0.2,1029518.4,4068248.0,140896.0,453490.4,44.0,0.0,47.2,24902.4,13987.0,27110.2,30.6,50.4,16.4,3.0,0.0
5.2,0.0,1028485.6,3645694.4,140907.2,450977.6,200.0,0.0,230.2,23865.6,12142.6,23982.6,38.0,44.2,16.2,2.2,0.0
4.0,0.4,1009534.4,3736668.8,140927.2,451312.0,196.0,0.0,198.4,23255.2,12157.2,22783.2,37.2,44.4,16.0,2.2,0.0
4.2,0.4,1008928.0,4352944.8,140950.4,455744.0,20.0,0.0,35.6,23408.8,13673.2,25851.4,35.6,45.0,17.0,2.4,0.0
4.6,0.4,1008684.0,4774577.6,141024.0,450333.6,866.4,0.0,1860.0,27356.8,14529.2,27476.0,34.4,45.8,17.2,3.0,0.0
6.4,0.0,1105316.0,4430375.2,141128.0,462543.2,54.4,65085.6,54.4,87402.4,13459.8,23722.4,29.8,52.0,14.6,3.2,0.0
6.4,0.4,1001440.8,4995205.6,141135.2,460747.2,37.6,0.0,37.6,22364.0,13114.4,24978.6,34.0,44.4,19.0,2.8,0.0
4.2,0.2,1000980.0,4818904.8,141172.0,461872.8,16.0,0.0,16.0,23829.6,13922.6,27704.0,38.0,42.6,16.6,3.2,0.0
5.0,1.2,1359607.2,4922737.6,141176.0,454097.6,38.4,157286.4,38.4,174942.4,13222.0,20486.6,26.8,52.2,16.6,4.2,0.0
4.4,0.2,1000377.6,5142512.8,141176.8,460317.6,19.2,0.0,20.0,21923.2,13741.6,25733.6,42.0,34.4,21.0,2.6,0.0
5.4,0.0,999968.0,5409732.0,141192.0,462397.6,34.4,0.0,34.4,22843.2,13782.2,25039.6,43.6,39.2,15.6,1.8,0.0
5.0,0.6,999968.0,5811499.2,141200.0,461312.0,79.2,0.0,80.0,21136.8,13139.2,24386.6,38.2,41.0,18.4,2.6,0.0
4.6,0.2,999456.0,5939036.8,141200.0,455986.4,20.0,0.0,23.2,24236.8,14643.4,28033.4,37.0,41.6,18.8,2.6,0.0
4.6,0.0,1002337.6,6116628.0,141204.0,453800.8,7.2,26214.4,58.4,47553.6,13439.8,24760.4,36.4,40.8,19.4,3.6,0.0
3.8,0.2,997796.0,6320164.0,141205.6,481315.2,499.2,45.6,1021.4,19719.2,12740.8,24240.2,48.4,29.2,19.0,3.4,0.0
7.8,2.6,1140384.8,116615.2,38110.4,262463.2,419.2,86876.8,32891.8,98048.8,13240.0,16268.6,4.4,84.0,7.0,5.2,0.0
8.6,0.8,1072772.0,191172.0,27549.6,280166.4,266.4,53389.6,12318.0,63615.2,11820.4,14751.8,8.2,81.4,7.4,3.2,0.0
4.6,0.0,1083839.2,3764733.6,49332.8,373237.6,1324.0,0.0,5884.0,20207.2,11677.6,23080.8,17.4,57.4,21.4,4.2,0.0
5.6,0.0,1086220.0,3641117.6,92428.8,345288.0,320.8,1690.4,1900.4,23421.6,20485.2,26284.6,12.8,66.8,17.2,3.4,0.0
4.8,0.4,1290866.4,2210588.8,117468.8,362566.4,227.2,101584.0,3024.4,118224.0,14484.4,20083.6,11.6,63.6,19.4,5.6,0.0
3.4,0.4,1062186.4,3643648.0,128128.8,374958.4,11.2,0.0,11.2,19228.0,11229.6,23473.6,17.0,51.2,28.4,3.8,0.0
2.4,0.8,1061696.8,3811513.6,132996.0,379539.2,75.2,0.0,331.2,22826.4,14679.4,27828.4,18.8,54.6,22.6,4.0,0.0
4.0,1.0,1061238.4,4054172.0,134830.4,385661.6,12.8,0.0,107.2,22271.2,13646.6,25781.6,18.2,55.2,23.4,3.4,0.0
5.2,0.6,1060665.6,3997256.0,135833.6,390484.8,60.0,0.0,727.2,21905.6,12734.2,25235.4,20.4,52.8,22.6,4.2,0.0
4.0,1.0,1060126.4,4424173.6,136078.4,397692.8,105.6,0.0,138.4,22419.2,13169.4,25591.0,19.8,56.0,20.2,4.2,0.0
3.6,0.0,1059555.2,4045134.4,136168.0,396647.2,96.0,0.0,200.8,22795.2,13773.2,26721.2,18.8,57.8,19.6,3.6,0.0
3.4,0.2,1056754.4,3319269.6,136226.4,399268.0,2584.8,0.0,2945.6,22147.2,13568.0,25414.0,24.8,51.6,20.2,3.6,0.0
4.0,0.2,1055376.8,3498409.6,136260.8,405111.2,342.4,0.0,500.4,23986.4,13974.8,26993.2,34.2,42.6,19.6,3.6,0.0
5.0,0.0,1050454.4,3080967.2,136285.6,418154.4,56.0,0.0,60.0,24162.4,13481.4,25826.4,34.2,43.8,18.6,3.4,0.0
5.6,0.2,1049979.2,3561523.2,136293.6,414461.6,22.4,0.0,22.4,22595.2,13391.8,25541.2,29.6,46.6,20.6,3.6,0.0
4.8,0.6,1133947.2,3155836.8,136328.0,412373.6,141.6,61219.2,141.6,80964.8,14015.0,23729.8,30.0,44.2,20.2,5.6,0.0
4.2,0.4,1664448.8,3914647.2,136336.0,416221.6,73.6,186464.8,73.6,200888.0,10925.8,15739.8,18.4,62.0,15.0,4.6,0.0
