ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.7,8.833,27.466,51539.968,235.388,2.1,332.803,13.17,8.2,0.0,982871.2,4401562.4,138436.0,361246.4,12.0,0.0,12.0,27356.0,16814.8,34690.8,33.4,59.8,5.8,1.0,0.0,1.382203
0.67,8.936,22.773,41627.648,228.453,2.0,298.739,13.46,8.4,0.2,982528.8,4908911.2,138454.4,363401.6,20.0,0.0,117.2,26676.0,18392.2,36784.2,31.2,61.8,6.4,1.2,0.0,1.479746
0.75,8.561,20.373,44528.64,229.061,2.14,380.379,10.94,7.6,0.4,982138.4,4553790.4,138472.0,365935.2,33.6,0.0,33.6,26796.8,17845.0,34179.2,32.6,60.6,6.0,0.6,0.0,1.425677
0.73,6.94,29.257,18158.592,279.447,1.68,358.143,9.98,9.6,0.2,1644150.4,4240351.2,138500.0,362683.2,10.4,207498.4,13.6,227673.6,14957.4,26861.4,30.6,64.2,4.2,1.2,0.0,1.616066
0.84,8.867,26.027,36992.0,212.363,2.2,479.829,8.36,8.8,1.0,981000.0,4223748.0,138516.0,363509.6,15.2,0.0,15.2,26998.4,19075.2,35456.0,34.6,58.6,6.2,0.8,0.0,1.541678
0.9,8.566,30.693,29885.44,213.542,2.24,541.271,7.25,7.2,0.6,980712.0,3987588.0,138528.8,367252.0,28.8,0.0,36.8,26677.6,18156.0,35563.0,38.4,54.6,6.2,0.6,0.0,1.507927
0.9,9.199,19.547,29343.744,212.932,2.24,517.663,7.56,7.6,0.0,980446.4,4127222.4,138566.4,363533.6,19.2,0.0,19.2,25636.8,18343.4,36883.2,38.0,55.8,5.6,0.6,0.0,1.339042
0.98,9.138,43.548,29313.024,263.127,1.88,544.916,7.31,6.8,0.2,980196.0,4878433.6,138581.6,367379.2,16.0,0.0,16.0,28093.6,17693.4,35390.0,40.6,52.4,6.0,1.0,0.0,1.340669
1.02,8.714,34.997,23139.328,278.72,1.68,548.081,6.94,8.2,0.4,979853.6,4908373.6,138600.8,363724.8,17.6,0.0,17.6,27248.8,17066.2,35547.6,42.8,51.8,4.8,0.8,0.0,1.423578
0.95,8.681,39.805,30136.32,263.811,1.74,494.697,8.03,6.8,0.6,980280.0,5200713.6,138616.0,364766.4,21.6,0.0,74.4,27156.8,17825.0,33868.0,40.0,53.6,5.8,0.8,0.0,1.4927
1.04,9.018,37.041,24863.744,321.934,1.57,584.763,6.9,7.4,0.0,980280.0,5369414.4,138620.0,359577.6,10.4,0.0,10.4,27158.4,17134.0,35755.0,41.4,53.8,4.4,0.8,0.0,1.338906
0.95,7.895,45.7,21955.584,298.941,1.57,532.093,7.06,7.2,0.2,1281345.6,5524328.8,138620.0,362819.2,74.4,102677.6,75.2,126381.6,15729.6,30700.8,34.8,59.6,5.4,1.0,0.0,1.620957
0.94,8.349,56.127,19808.256,276.206,1.68,503.818,7.23,7.2,0.0,1133334.4,5611046.4,138628.0,367268.8,12.8,51604.8,13.6,76588.8,16337.0,32371.6,37.4,56.8,5.4,1.0,0.0,1.50353
1.2,8.774,38.59,10522.624,352.9,1.3,764.458,4.92,6.6,0.4,979416.0,5526926.4,138633.6,367489.6,12.8,0.0,12.8,27880.8,18579.4,35646.6,42.0,51.4,6.2,0.8,0.0,1.434375
1.23,8.751,44.917,4464.64,355.514,1.34,772.097,4.69,6.8,0.2,978904.0,5694589.6,138645.6,365703.2,11.2,0.0,11.2,29580.0,17495.0,36563.2,45.4,48.8,5.0,0.6,0.0,1.48699
1.09,8.65,41.652,17482.752,336.596,1.37,606.679,6.24,7.6,0.0,978635.2,6230456.0,138656.0,363306.4,48.0,13302.4,57.6,39720.0,18316.6,34257.4,39.6,55.6,4.6,0.6,0.0,1.550034
1.07,8.668,40.362,24183.808,383.525,1.21,431.542,8.57,8.2,0.4,978260.0,6467440.8,138660.0,363615.2,15.2,0.0,15.2,25449.6,16380.6,34239.0,40.8,53.0,5.4,0.8,0.0,1.46373
