r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
7.0,0.0,1048462.4,2869626.4,77008.0,334680.8,157.6,0.0,1522.4,25086.4,16361.4,32828.6,27.8,64.8,6.4,0.6,0.0
8.4,0.0,1049913.6,4278510.4,76511.2,317249.6,138.4,0.0,3780.8,24433.6,16478.2,36400.0,29.8,62.2,6.8,1.4,0.0
7.6,0.0,1047968.0,3011566.4,116974.4,334791.2,60.0,0.0,164.8,26717.6,17805.6,37986.4,33.0,59.0,6.8,1.4,0.0
8.0,0.0,1047251.2,4149636.0,129243.2,342215.2,57.6,0.0,311.2,27622.4,18512.0,39958.4,27.2,65.2,6.2,1.2,0.0
5.0,0.2,1046944.0,3837603.2,132886.4,348938.4,1.6,0.0,10.4,24451.2,18789.4,37061.4,23.2,64.8,10.8,1.4,0.0
5.8,0.4,1046278.4,3552910.4,133695.2,348276.8,20.0,0.0,24.8,25712.8,17931.8,37922.2,24.8,66.0,8.2,1.4,0.0
7.0,0.0,1024631.2,2701968.8,133973.6,350625.6,39.2,0.0,39.2,26202.4,17938.4,39448.0,36.4,54.0,8.6,1.4,0.0
5.4,0.2,1003622.4,3454563.2,134063.2,357199.2,152.0,0.0,796.2,27775.2,19735.6,41549.0,30.0,62.0,6.6,1.4,0.0
6.0,1.0,1003302.4,3585472.8,134127.2,357095.2,3.2,0.0,3.2,25746.4,17270.0,39171.2,35.8,55.0,7.6,1.6,0.0
6.0,0.0,1001288.8,3713887.2,134272.8,367028.0,49.6,0.0,823.2,25569.6,17769.4,38770.8,33.2,57.0,8.8,1.0,0.0
7.2,0.2,1001016.8,4064650.4,134324.0,362974.4,13.6,0.0,14.4,27632.0,18260.8,37939.4,35.4,57.8,6.0,1.0,0.0
4.2,0.2,1000475.2,4054672.0,134336.8,380878.4,16.0,0.0,136.0,29126.4,17802.4,38419.8,33.6,59.4,6.6,0.8,0.0
6.0,0.2,1000354.4,4398849.6,134522.4,375132.8,15.2,0.0,146.4,26570.4,17199.4,36728.6,31.2,60.0,7.8,0.8,0.0
6.6,0.2,984461.6,4612419.2,135512.0,404533.6,12.0,0.0,12.0,25247.2,18407.8,40288.4,32.6,60.0,6.6,1.0,0.0
4.6,0.2,984256.0,4712334.4,135536.0,412899.2,6.4,0.0,23.2,26042.4,18979.0,39871.0,34.4,57.0,7.6,1.2,0.0
7.0,0.4,1246104.8,4208792.0,135595.2,411482.4,66.4,142040.8,1670.4,165349.6,16125.6,30085.2,29.4,63.2,5.6,1.8,0.0
4.2,0.2,1355917.6,4418734.4,135781.6,420953.6,49.6,167296.8,820.0,191510.4,16364.6,32332.6,30.4,59.2,8.0,2.4,0.0
6.8,0.2,1325748.0,4797403.2,136121.6,422398.4,13.6,147384.0,14.4,172688.8,15775.2,29949.0,29.4,62.4,7.2,1.2,0.0
6.8,0.2,975408.0,4802677.6,136148.0,420484.0,5.6,0.0,5.6,29864.8,17201.8,38104.6,41.8,47.8,9.6,1.0,0.0
6.0,0.6,975152.0,5034693.6,136163.2,422771.2,7.2,0.0,7.2,31490.4,18338.8,37819.8,38.8,53.8,6.8,0.8,0.0
7.0,0.0,975152.0,5137361.6,136168.0,425553.6,3.2,0.0,3.2,30164.0,18143.2,39615.0,40.2,52.0,7.0,1.2,0.0
7.0,0.0,975152.0,5466458.4,136180.8,421005.6,12.0,0.0,15.2,30656.0,18385.0,41304.4,45.8,46.8,6.4,1.0,0.0
5.8,0.0,974896.0,5796060.0,136184.0,424374.4,4.8,0.0,76.0,30392.0,17302.8,36242.8,35.4,56.2,7.4,1.2,0.0
6.8,0.2,1081812.8,5951874.4,136192.8,423876.8,4.0,106675.2,4.0,131236.0,17048.2,31036.8,31.2,58.2,8.4,2.6,0.0
5.8,0.2,974412.0,6343272.8,136205.6,421104.8,8.0,0.0,8.0,26741.6,16767.8,37032.8,35.6,53.8,9.0,2.0,0.0
6.2,0.4,986620.8,6437859.2,136224.0,425625.6,4.0,52428.8,4.8,76924.0,17341.6,32049.8,33.6,55.0,8.8,2.2,0.0
8.6,0.2,1191316.0,340456.0,35450.4,293324.0,6441.6,112044.8,15095.2,132154.4,19203.4,27411.0,32.8,64.4,2.0,1.2,0.0
9.6,0.2,1122267.2,595981.6,38444.8,274036.8,8606.4,49221.6,26598.2,69245.6,17251.0,27623.0,30.4,66.0,2.2,1.6,0.0
8.6,0.2,1059444.8,1619544.0,76284.0,317161.6,216.8,1467.2,3203.2,24492.0,14323.6,27624.2,32.6,64.4,2.8,0.2,0.0
7.0,0.0,1062520.0,3744085.6,107175.2,331548.0,287.2,0.0,2350.8,26507.2,16932.0,32325.4,35.2,60.8,4.0,0.8,0.0
8.8,0.6,1060676.8,4083596.0,130723.2,354059.2,155.2,0.0,197.6,27176.8,17791.6,34056.8,32.0,64.2,3.4,0.6,0.0
8.0,0.0,1059089.6,4114854.4,138028.0,358421.6,114.4,0.0,214.0,26651.2,15970.0,33919.0,33.8,62.4,3.2,0.4,0.0
8.6,0.0,1058424.0,4566903.2,140104.0,361013.6,184.8,0.0,878.8,28601.6,17327.4,33757.0,33.6,63.2,3.0,0.2,0.0
8.2,0.0,1057400.0,4935476.0,140693.6,358500.0,31.2,0.0,36.0,26342.4,16992.4,32607.2,34.8,61.4,3.6,0.6,0.0
7.2,0.4,1056939.2,5124468.8,140859.2,359928.0,77.6,0.0,77.6,28868.0,16718.8,34489.0,36.2,60.0,3.2,0.4,0.0
10.0,0.0,1021860.0,5281580.0,141052.8,367450.4,98.4,0.0,1385.6,26080.8,17241.2,33665.6,36.0,61.2,2.6,0.4,0.0
9.8,0.4,1020944.0,5186847.2,141443.2,403581.6,52.0,0.0,52.8,27272.8,16914.4,33472.2,34.0,61.8,4.0,0.4,0.0
9.8,0.4,1011232.8,5025456.8,141468.0,400824.0,15.2,0.0,28.4,26517.6,15998.2,32418.4,36.6,59.8,3.6,0.2,0.0
7.6,0.2,1010401.6,4285982.4,141498.4,415076.0,40.0,0.0,50.4,25184.8,17039.0,33733.4,40.6,56.2,2.6,0.2,0.0
8.8,0.4,1009897.6,4916947.2,141506.4,410704.8,24.0,0.0,26.4,24112.8,17550.0,32525.6,37.4,60.0,2.8,0.2,0.0
9.2,0.2,1009318.4,4893423.2,141516.0,414289.6,18.4,0.0,19.2,25960.8,15956.6,33347.2,36.2,59.2,3.8,0.6,0.0
7.0,0.2,1008604.0,4937093.6,141524.8,417983.2,92.0,0.0,92.0,27690.4,17095.2,33549.0,36.0,59.2,4.4,0.4,0.0
8.0,0.8,1008204.0,4431191.2,141536.8,418530.4,19.2,0.0,20.0,28526.4,17000.0,33034.6,36.8,59.0,4.0,0.4,0.0
10.4,0.0,1007968.8,4604460.8,141548.0,418136.8,15.2,0.0,36.8,25152.8,15945.8,31984.8,41.0,56.0,3.0,0.4,0.0
8.2,0.0,1007282.4,4524232.0,141564.8,414412.0,5.6,0.0,6.4,28632.8,18437.8,34511.8,40.2,55.4,4.2,0.4,0.0
8.0,0.4,1006754.4,5121483.2,141595.2,415357.6,28.0,0.0,28.0,27888.0,17672.0,36345.6,36.6,58.2,4.6,0.6,0.0
9.4,0.2,1006090.4,5558740.0,141621.6,420603.2,35.2,0.0,36.0,26635.2,18262.4,36245.8,40.8,53.8,4.8,0.6,0.0
8.2,1.2,1214808.8,5101630.4,141644.0,419144.0,26.4,114416.8,26.4,135553.6,14918.0,27774.2,39.2,57.2,2.8,1.0,0.0
8.8,0.2,1004496.0,5393730.4,141648.0,422094.4,12.8,0.0,17.6,27359.2,17902.4,34933.2,42.4,52.2,4.8,1.0,0.0
9.2,0.0,1003624.0,5699448.0,141662.4,417320.8,7.2,0.0,41.6,25664.8,16572.2,34315.0,43.4,53.2,2.8,0.4,0.0
8.6,0.4,1003624.0,5603236.0,141691.2,422016.0,3.2,0.0,5.6,26772.0,15674.6,32251.0,43.2,53.4,3.4,0.0,0.0
7.4,0.2,1002856.0,5939552.8,141716.8,420630.4,31.2,0.0,42.4,27260.0,17093.0,33714.6,42.0,54.8,3.0,0.0,0.0
9.4,0.4,1002856.0,6324851.2,141729.6,418731.2,21.6,0.0,60.0,27555.2,19410.8,37226.4,40.0,54.6,4.8,1.0,0.0
6.8,0.0,1003495.2,6520469.6,141736.0,418043.2,0.0,1736.0,2.4,30414.4,15818.2,32619.2,37.2,56.8,5.6,0.4,0.0
8.0,0.6,1001844.0,3356312.8,141740.0,418724.8,24.8,0.0,25.6,27195.2,16507.6,33905.2,31.0,63.4,5.0,0.6,0.0
